Start time: 1716937837849
[2024-05-28 19:10:39.046608] nuttcp-t: v8.1.4: socket
[2024-05-28 19:10:39.047071] nuttcp-t: buflen=1400, nstream=1, port=5002 udp -> 35.245.244.238
[2024-05-28 19:10:39.047113] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 19:10:39.047145] nuttcp-t: rate limit = 300.000 Mbps (aggregate), 26785 pps
[2024-05-28 19:10:39.047174] nuttcp-t: send window size = 229376, receive window size = 229376
[2024-05-28 19:10:39.047204] nuttcp-t: available send window = 172032, available receive window = 172032
[2024-05-28 19:10:39.047235] nuttcp-r: v8.1.4: socket
[2024-05-28 19:10:39.047263] nuttcp-r: buflen=1400, nstream=1, port=5002 udp
[2024-05-28 19:10:39.047317] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 19:10:39.047359] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 19:10:39.047387] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 19:10:49.036421]     0.9186 MB /   0.50 sec =   15.4113 Mbps     0 /   688 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:49.531910]     0.8385 MB /   0.50 sec =   14.0666 Mbps     0 /   628 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:50.036255]     0.8411 MB /   0.50 sec =   14.1133 Mbps     0 /   630 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:50.532428]     0.7063 MB /   0.50 sec =   11.8489 Mbps     0 /   529 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:51.036296]     0.7250 MB /   0.50 sec =   12.1637 Mbps     0 /   543 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:51.582819]     0.7463 MB /   0.50 sec =   12.5211 Mbps     0 /   559 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:52.043908]     0.7957 MB /   0.50 sec =   13.3506 Mbps     0 /   596 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:52.535361]     0.8038 MB /   0.50 sec =   13.4836 Mbps     0 /   602 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:53.040054]     0.8692 MB /   0.50 sec =   14.5833 Mbps     0 /   651 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:53.587768]     0.8024 MB /   0.50 sec =   13.4633 Mbps     0 /   601 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:54.044441]     0.8024 MB /   0.50 sec =   13.4616 Mbps     0 /   601 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:54.591718]     0.8171 MB /   0.50 sec =   13.7090 Mbps     0 /   612 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:55.044519]     0.8905 MB /   0.50 sec =   14.9407 Mbps     0 /   667 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:55.541193]     0.8759 MB /   0.50 sec =   14.6942 Mbps     0 /   656 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:56.043576]     0.8959 MB /   0.50 sec =   15.0311 Mbps     0 /   671 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:56.541944]     0.9974 MB /   0.50 sec =   16.7320 Mbps     0 /   747 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:57.095073]     0.7877 MB /   0.50 sec =   13.2167 Mbps     0 /   590 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:57.594869]     0.7757 MB /   0.50 sec =   13.0142 Mbps     0 /   581 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:58.052251]     0.8799 MB /   0.50 sec =   14.7614 Mbps     0 /   659 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:58.504388]     0.8131 MB /   0.50 sec =   13.6426 Mbps     0 /   609 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:59.052491]     1.2564 MB /   0.50 sec =   21.0776 Mbps     0 /   941 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:10:59.504397]     1.2003 MB /   0.50 sec =   20.1369 Mbps     0 /   899 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:00.003938]     1.0975 MB /   0.50 sec =   18.4141 Mbps     0 /   822 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:00.504442]     1.1175 MB /   0.50 sec =   18.7476 Mbps     0 /   837 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:01.052532]     0.9266 MB /   0.50 sec =   15.5458 Mbps     0 /   694 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:01.508216]     0.9706 MB /   0.50 sec =   16.2845 Mbps     0 /   727 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:02.003691]     0.9626 MB /   0.50 sec =   16.1508 Mbps     0 /   721 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:02.512464]     0.9506 MB /   0.50 sec =   15.9489 Mbps     0 /   712 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:03.004234]     0.9146 MB /   0.50 sec =   15.3431 Mbps     0 /   685 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:03.512155]     0.9907 MB /   0.50 sec =   16.6210 Mbps     0 /   742 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:04.011690]     1.0294 MB /   0.50 sec =   17.2709 Mbps     0 /   771 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:04.516199]     0.9680 MB /   0.50 sec =   16.2406 Mbps     0 /   725 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:05.012090]     0.8585 MB /   0.50 sec =   14.4026 Mbps     0 /   643 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:05.520333]     0.8772 MB /   0.50 sec =   14.7160 Mbps     0 /   657 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:06.012058]     1.0788 MB /   0.50 sec =   18.1008 Mbps     1 /   809 ~drop/pkt  0.12 ~%loss
[2024-05-28 19:11:06.523817]     1.0054 MB /   0.50 sec =   16.8660 Mbps     0 /   753 ~drop/pkt  0.00 ~%loss
