Start time: 1716936110483
[2024-05-28 18:41:51.479482] nuttcp-t: v8.1.4: socket
[2024-05-28 18:41:51.480446] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-28 18:41:51.480506] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 18:41:51.480547] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=45.082 ms af=inet
[2024-05-28 18:41:51.480585] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-28 18:41:51.480618] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-28 18:41:51.480653] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 18:41:51.480684] nuttcp-r: v8.1.4: socket
[2024-05-28 18:41:51.480715] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-28 18:41:51.480747] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 18:41:51.480779] nuttcp-r: accept from 98.97.16.43 with af=inet
[2024-05-28 18:41:51.480810] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 18:41:51.480844] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 18:42:12.740691]     0.5625 MB /   0.50 sec =    9.4373 Mbps     3 retrans     50 KB-cwnd
[2024-05-28 18:42:13.449904]     0.5625 MB /   0.50 sec =    9.4372 Mbps     1 retrans     44 KB-cwnd
[2024-05-28 18:42:13.450365]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans     44 KB-cwnd
[2024-05-28 18:42:14.191187]     0.3750 MB /   0.50 sec =    6.2916 Mbps     4 retrans     41 KB-cwnd
[2024-05-28 18:42:14.889800]     0.3750 MB /   0.50 sec =    6.2903 Mbps     0 retrans     48 KB-cwnd
[2024-05-28 18:42:14.890203]     0.4375 MB /   0.50 sec =    7.3411 Mbps     0 retrans     48 KB-cwnd
[2024-05-28 18:42:15.444848]     0.5000 MB /   0.50 sec =    8.3879 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 18:42:15.842861]     0.6875 MB /   0.50 sec =   11.5347 Mbps     5 retrans     71 KB-cwnd
[2024-05-28 18:42:16.413730]     0.5625 MB /   0.50 sec =    9.4360 Mbps     7 retrans     46 KB-cwnd
[2024-05-28 18:42:17.059599]     0.5000 MB /   0.50 sec =    8.3899 Mbps     3 retrans     42 KB-cwnd
[2024-05-28 18:42:18.036212]     0.4375 MB /   0.50 sec =    7.3399 Mbps     2 retrans     41 KB-cwnd
[2024-05-28 18:42:18.036666]     0.2500 MB /   0.50 sec =    4.1946 Mbps     0 retrans     41 KB-cwnd
[2024-05-28 18:42:18.662500]     0.3750 MB /   0.50 sec =    6.2917 Mbps     1 retrans     79 KB-cwnd
[2024-05-28 18:42:19.316174]     0.5000 MB /   0.50 sec =    8.3879 Mbps     6 retrans     41 KB-cwnd
[2024-05-28 18:42:19.316462]     0.4375 MB /   0.50 sec =    7.3403 Mbps     0 retrans     41 KB-cwnd
[2024-05-28 18:42:19.982215]     0.4375 MB /   0.50 sec =    7.3398 Mbps     0 retrans     48 KB-cwnd
[2024-05-28 18:42:20.615662]     0.4375 MB /   0.50 sec =    7.3397 Mbps     2 retrans     57 KB-cwnd
[2024-05-28 18:42:21.305357]     0.4375 MB /   0.50 sec =    7.3392 Mbps     0 retrans     63 KB-cwnd
[2024-05-28 18:42:21.306275]     0.3750 MB /   0.50 sec =    6.2926 Mbps     0 retrans     63 KB-cwnd
[2024-05-28 18:42:21.998640]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans     68 KB-cwnd
[2024-05-28 18:42:22.888741]     0.3125 MB /   0.50 sec =    5.2428 Mbps     2 retrans     50 KB-cwnd
[2024-05-28 18:42:22.889396]     0.4375 MB /   0.50 sec =    7.3404 Mbps     0 retrans     50 KB-cwnd
[2024-05-28 18:42:23.817930]     0.3125 MB /   0.50 sec =    5.2431 Mbps     2 retrans     46 KB-cwnd
[2024-05-28 18:42:23.818389]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans     46 KB-cwnd
[2024-05-28 18:42:24.559066]     0.4375 MB /   0.50 sec =    7.3404 Mbps     3 retrans     42 KB-cwnd
[2024-05-28 18:42:25.410870]     0.3750 MB /   0.50 sec =    6.2901 Mbps     2 retrans     39 KB-cwnd
[2024-05-28 18:42:25.411174]     0.3125 MB /   0.50 sec =    5.2440 Mbps     0 retrans     39 KB-cwnd
[2024-05-28 18:42:26.378234]     0.3750 MB /   0.50 sec =    6.2910 Mbps     6 retrans     30 KB-cwnd
[2024-05-28 18:42:26.378598]     0.3125 MB /   0.50 sec =    5.2432 Mbps     0 retrans     30 KB-cwnd
[2024-05-28 18:42:27.512581]     0.1875 MB /   0.50 sec =    3.1454 Mbps     0 retrans     39 KB-cwnd
[2024-05-28 18:42:27.512986]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans     39 KB-cwnd
[2024-05-28 18:42:28.059752]     0.4375 MB /   0.50 sec =    7.3406 Mbps     4 retrans     89 KB-cwnd
[2024-05-28 18:42:28.463620]     0.6875 MB /   0.50 sec =   11.5332 Mbps     0 retrans     93 KB-cwnd
[2024-05-28 18:42:28.900025]     0.7500 MB /   0.50 sec =   12.5846 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 18:42:29.338584]     0.6875 MB /   0.50 sec =   11.5335 Mbps     0 retrans    103 KB-cwnd
[2024-05-28 18:42:29.902197]     1.0000 MB /   0.50 sec =   16.7784 Mbps     3 retrans    110 KB-cwnd
[2024-05-28 18:42:30.478291]     1.1875 MB /   0.50 sec =   19.9210 Mbps     1 retrans     94 KB-cwnd
[2024-05-28 18:42:30.820767]     0.9375 MB /   0.50 sec =   15.7286 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 18:42:31.422328]     1.0000 MB /   0.50 sec =   16.7778 Mbps     4 retrans     94 KB-cwnd
[2024-05-28 18:42:32.062254]     0.8750 MB /   0.50 sec =   14.6805 Mbps     3 retrans     81 KB-cwnd
[2024-05-28 18:42:32.473436]     0.8125 MB /   0.50 sec =   13.6302 Mbps     2 retrans     67 KB-cwnd
[2024-05-28 18:42:33.024932]     0.6875 MB /   0.50 sec =   11.5347 Mbps     0 retrans     71 KB-cwnd
[2024-05-28 18:42:33.563218]     0.5000 MB /   0.50 sec =    8.3894 Mbps     0 retrans     77 KB-cwnd
[2024-05-28 18:42:34.155791]     0.5625 MB /   0.50 sec =    9.4360 Mbps     3 retrans    125 KB-cwnd
[2024-05-28 18:42:34.501560]     0.7500 MB /   0.50 sec =   12.5829 Mbps     1 retrans    103 KB-cwnd
[2024-05-28 18:42:34.900280]     0.8125 MB /   0.50 sec =   13.6325 Mbps     0 retrans    107 KB-cwnd
[2024-05-28 18:42:35.711637]     0.7500 MB /   0.50 sec =   12.5827 Mbps     7 retrans     59 KB-cwnd
[2024-05-28 18:42:36.215211]     0.6250 MB /   0.50 sec =   10.4853 Mbps     0 retrans     64 KB-cwnd
[2024-05-28 18:42:36.794900]     0.5625 MB /   0.50 sec =    9.4375 Mbps     3 retrans     59 KB-cwnd
[2024-05-28 18:42:37.330875]     0.5625 MB /   0.50 sec =    9.4380 Mbps     0 retrans     66 KB-cwnd
