time,rtt_ms,operator
2024-05-28T11:38:41.828139-04:00,117,att
2024-05-28T11:38:41.998868-04:00,87.8,att
2024-05-28T11:38:42.193057-04:00,81.3,att
2024-05-28T11:38:42.415838-04:00,103,att
2024-05-28T11:38:42.608444-04:00,94.8,att
2024-05-28T11:38:42.797003-04:00,83.0,att
2024-05-28T11:38:43.006069-04:00,91.4,att
2024-05-28T11:38:43.197624-04:00,82.5,att
2024-05-28T11:38:43.408189-04:00,92.8,att
2024-05-28T11:38:43.618395-04:00,102,att
2024-05-28T11:38:43.807990-04:00,91.0,att
2024-05-28T11:38:44.017119-04:00,99.5,att
2024-05-28T11:38:44.206838-04:00,89.2,att
2024-05-28T11:38:44.435015-04:00,116,att
2024-05-28T11:38:44.617421-04:00,97.6,att
2024-05-28T11:38:44.818970-04:00,98.9,att
2024-05-28T11:38:45.018823-04:00,98.0,att
2024-05-28T11:38:45.218470-04:00,97.8,att
2024-05-28T11:38:45.407103-04:00,86.0,att
2024-05-28T11:38:45.619370-04:00,97.5,att
2024-05-28T11:38:45.811344-04:00,89.3,att
2024-05-28T11:38:46.018108-04:00,95.1,att
2024-05-28T11:38:46.218932-04:00,96.1,att
2024-05-28T11:38:46.416524-04:00,92.8,att
2024-05-28T11:38:46.608129-04:00,84.0,att
2024-05-28T11:38:46.818747-04:00,94.1,att
2024-05-28T11:38:47.017190-04:00,91.7,att
2024-05-28T11:38:47.216781-04:00,92.0,att
2024-05-28T11:38:47.418376-04:00,92.8,att
2024-05-28T11:38:47.618854-04:00,93.0,att
2024-05-28T11:38:47.836168-04:00,109,att
2024-05-28T11:38:48.026848-04:00,99.4,att
2024-05-28T11:38:48.226713-04:00,98.5,att
2024-05-28T11:38:48.426869-04:00,99.1,att
2024-05-28T11:38:48.617877-04:00,89.5,att
2024-05-28T11:38:48.825967-04:00,96.6,att
2024-05-28T11:38:49.019874-04:00,89.4,att
2024-05-28T11:38:49.217784-04:00,87.5,att
2024-05-28T11:38:49.417929-04:00,86.6,att
2024-05-28T11:38:49.618060-04:00,85.5,att
2024-05-28T11:38:49.818200-04:00,84.5,att
2024-05-28T11:38:50.017032-04:00,83.2,att
2024-05-28T11:38:50.217354-04:00,83.3,att
2024-05-28T11:38:50.417192-04:00,82.2,att
2024-05-28T11:38:50.631000-04:00,95.2,att
2024-05-28T11:38:50.831914-04:00,95.4,att
2024-05-28T11:38:51.027851-04:00,90.4,att
2024-05-28T11:38:51.229971-04:00,92.6,att
2024-05-28T11:38:51.428055-04:00,89.4,att
2024-05-28T11:38:51.627290-04:00,87.4,att
2024-05-28T11:38:51.836911-04:00,96.1,att
2024-05-28T11:38:52.034922-04:00,93.4,att
2024-05-28T11:38:52.226980-04:00,85.4,att
2024-05-28T11:38:52.438284-04:00,95.4,att
2024-05-28T11:38:52.630239-04:00,86.3,att
2024-05-28T11:38:52.832940-04:00,88.1,att
2024-05-28T11:38:53.036798-04:00,91.4,att
2024-05-28T11:38:53.237280-04:00,91.7,att
2024-05-28T11:38:53.438164-04:00,92.1,att
2024-05-28T11:38:53.637054-04:00,90.2,att
2024-05-28T11:38:53.838999-04:00,91.3,att
2024-05-28T11:38:54.040338-04:00,91.6,att
2024-05-28T11:38:54.238166-04:00,90.0,att
2024-05-28T11:38:54.454357-04:00,105,att
2024-05-28T11:38:54.637029-04:00,87.0,att
2024-05-28T11:38:54.840025-04:00,89.3,att
