Start time: 1716924209525
[2024-05-28 15:23:53.185884] Connecting to host 35.245.244.238, port 5202
[2024-05-28 15:23:53.186516] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:23:53.186561] [  5] local 10.45.167.251 port 54356 connected to 35.245.244.238 port 5202
[2024-05-28 15:23:53.186594] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:23:53.187881] [  5]  21.00-21.50  sec  13.7 MBytes   230 Mbits/sec  0.081 ms  12163/22453 (54%)  
[2024-05-28 15:23:53.187911] [  5]  21.50-22.00  sec  13.5 MBytes   227 Mbits/sec  0.049 ms  12111/22245 (54%)  
[2024-05-28 15:23:53.187938] [  5]  22.00-22.50  sec  13.9 MBytes   233 Mbits/sec  0.056 ms  11830/22224 (53%)  
[2024-05-28 15:24:17.685932] [  5]  22.50-23.00  sec  13.3 MBytes   224 Mbits/sec  0.058 ms  12117/22104 (55%)  
[2024-05-28 15:24:17.686296] [  5]  23.00-23.50  sec  13.2 MBytes   222 Mbits/sec  0.038 ms  12681/22594 (56%)  
[2024-05-28 15:24:17.686431] [  5]  23.50-24.00  sec  14.0 MBytes   234 Mbits/sec  0.232 ms  12008/22463 (53%)  
[2024-05-28 15:24:17.686542] [  5]  24.00-24.50  sec  12.8 MBytes   214 Mbits/sec  0.046 ms  12519/22083 (57%)  
[2024-05-28 15:24:17.686649] [  5]  24.50-25.00  sec  13.6 MBytes   228 Mbits/sec  0.057 ms  12480/22640 (55%)  
[2024-05-28 15:24:17.686753] [  5]  25.00-25.50  sec  12.8 MBytes   215 Mbits/sec  0.090 ms  12692/22294 (57%)  
[2024-05-28 15:24:17.686855] [  5]  25.50-26.00  sec  13.1 MBytes   220 Mbits/sec  0.153 ms  12051/21881 (55%)  
[2024-05-28 15:24:17.686957] [  5]  26.00-26.50  sec  12.8 MBytes   214 Mbits/sec  0.045 ms  13086/22655 (58%)  
[2024-05-28 15:24:17.687062] [  5]  26.50-27.00  sec  12.5 MBytes   210 Mbits/sec  0.038 ms  12653/22013 (57%)  
[2024-05-28 15:24:17.687165] [  5]  27.00-27.50  sec  14.3 MBytes   239 Mbits/sec  0.222 ms  11882/22561 (53%)  
[2024-05-28 15:24:17.687266] [  5]  27.50-28.00  sec  13.9 MBytes   234 Mbits/sec  0.071 ms  12021/22454 (54%)  
[2024-05-28 15:24:17.687450] [  5]  28.00-28.50  sec  14.0 MBytes   235 Mbits/sec  0.042 ms  11810/22303 (53%)  
[2024-05-28 15:24:17.687561] [  5]  28.50-29.00  sec  13.8 MBytes   231 Mbits/sec  0.086 ms  11746/22053 (53%)  
[2024-05-28 15:24:17.687664] [  5]  29.00-29.50  sec  13.8 MBytes   232 Mbits/sec  0.024 ms  11946/22306 (54%)  
[2024-05-28 15:24:17.687763] [  5]  29.50-30.00  sec  13.4 MBytes   225 Mbits/sec  0.042 ms  12698/22745 (56%)  
[2024-05-28 15:24:17.687864] [  5]  30.00-30.50  sec  13.0 MBytes   219 Mbits/sec  0.215 ms  12153/21919 (55%)  
[2024-05-28 15:24:17.687965] [  5]  30.50-31.00  sec  13.3 MBytes   223 Mbits/sec  0.045 ms  12454/22423 (56%)  
[2024-05-28 15:24:17.688063] [  5]  31.00-31.50  sec  13.3 MBytes   224 Mbits/sec  0.083 ms  12124/22111 (55%)  
[2024-05-28 15:24:17.688165] [  5]  31.50-32.00  sec  13.6 MBytes   228 Mbits/sec  0.159 ms  12473/22632 (55%)  
[2024-05-28 15:24:17.688263] [  5]  32.00-32.50  sec  14.1 MBytes   236 Mbits/sec  0.044 ms  11870/22410 (53%)  
[2024-05-28 15:24:17.688362] [  5]  32.50-33.00  sec  13.1 MBytes   219 Mbits/sec  0.416 ms  12426/22215 (56%)  
[2024-05-28 15:24:17.688460] [  5]  33.00-33.50  sec  14.5 MBytes   243 Mbits/sec  0.046 ms  11369/22214 (51%)  
[2024-05-28 15:24:17.688561] [  5]  33.50-34.00  sec  13.8 MBytes   232 Mbits/sec  0.095 ms  11957/22326 (54%)  
[2024-05-28 15:24:17.688659] [  5]  34.00-34.50  sec  12.9 MBytes   216 Mbits/sec  0.038 ms  12654/22297 (57%)  
[2024-05-28 15:24:17.688785] [  5]  34.50-35.00  sec  13.0 MBytes   218 Mbits/sec  0.111 ms  12747/22468 (57%)  
[2024-05-28 15:24:17.688886] [  5]  35.00-35.50  sec  13.5 MBytes   227 Mbits/sec  0.042 ms  12246/22385 (55%)  
[2024-05-28 15:24:17.688989] [  5]  35.50-36.00  sec  13.4 MBytes   225 Mbits/sec  0.072 ms  12288/22337 (55%)  
[2024-05-28 15:24:17.689091] [  5]  36.00-36.50  sec  12.6 MBytes   212 Mbits/sec  0.051 ms  12759/22220 (57%)  
[2024-05-28 15:24:17.689192] [  5]  36.50-37.00  sec  12.3 MBytes   207 Mbits/sec  0.083 ms  12913/22143 (58%)  
[2024-05-28 15:24:17.689290] [  5]  37.00-37.50  sec  12.1 MBytes   204 Mbits/sec  0.061 ms  13255/22345 (59%)  
[2024-05-28 15:24:17.689390] [  5]  37.50-38.00  sec  12.7 MBytes   212 Mbits/sec  0.123 ms  12968/22452 (58%)  
[2024-05-28 15:24:17.689488] [  5]  38.00-38.50  sec  13.0 MBytes   218 Mbits/sec  0.065 ms  12799/22541 (57%)  
[2024-05-28 15:24:17.689587] [  5]  38.50-39.00  sec  13.0 MBytes   218 Mbits/sec  0.023 ms  12188/21913 (56%)  
[2024-05-28 15:24:17.689686] [  5]  39.00-39.50  sec  13.3 MBytes   223 Mbits/sec  0.073 ms  12486/22450 (56%)  
[2024-05-28 15:24:17.689784] [  5]  39.50-40.00  sec  13.6 MBytes   228 Mbits/sec  0.110 ms  12278/22449 (55%)  
