Start time: 1716931798226
[2024-05-28 17:29:59.114596] nuttcp-t: v8.1.4: socket
[2024-05-28 17:29:59.115531] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-28 17:29:59.115639] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 17:29:59.115714] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=44.044 ms af=inet
[2024-05-28 17:29:59.115790] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-28 17:29:59.115861] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-28 17:29:59.116161] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 17:29:59.116253] nuttcp-r: v8.1.4: socket
[2024-05-28 17:29:59.116326] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-28 17:29:59.116394] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 17:29:59.116461] nuttcp-r: accept from 98.97.16.43 with af=inet
[2024-05-28 17:29:59.116526] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 17:29:59.116593] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 17:30:20.420601]     0.8750 MB /   0.50 sec =   14.6800 Mbps     2 retrans     75 KB-cwnd
[2024-05-28 17:30:20.937306]     0.7500 MB /   0.50 sec =   12.5827 Mbps     0 retrans     81 KB-cwnd
[2024-05-28 17:30:21.497028]     0.6875 MB /   0.50 sec =   11.5348 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:30:22.006314]     0.6875 MB /   0.50 sec =   11.5337 Mbps     3 retrans    134 KB-cwnd
[2024-05-28 17:30:22.505781]     0.8750 MB /   0.50 sec =   14.6805 Mbps     3 retrans     90 KB-cwnd
[2024-05-28 17:30:23.044254]     0.7500 MB /   0.50 sec =   12.5830 Mbps     0 retrans     94 KB-cwnd
[2024-05-28 17:30:23.044641]     0.7500 MB /   0.50 sec =   12.5832 Mbps     0 retrans     94 KB-cwnd
[2024-05-28 17:30:23.700973]     0.6250 MB /   0.50 sec =   10.4854 Mbps     2 retrans     81 KB-cwnd
[2024-05-28 17:30:24.208872]     0.6250 MB /   0.50 sec =   10.4860 Mbps     0 retrans     94 KB-cwnd
[2024-05-28 17:30:24.800693]     0.6250 MB /   0.50 sec =   10.4859 Mbps     2 retrans     78 KB-cwnd
[2024-05-28 17:30:25.411754]     0.5625 MB /   0.50 sec =    9.4371 Mbps     0 retrans     83 KB-cwnd
[2024-05-28 17:30:25.927484]     0.6875 MB /   0.50 sec =   11.5343 Mbps     0 retrans     90 KB-cwnd
[2024-05-28 17:30:26.340942]     0.7500 MB /   0.50 sec =   12.5829 Mbps     1 retrans    110 KB-cwnd
[2024-05-28 17:30:26.815268]     0.9375 MB /   0.50 sec =   15.7274 Mbps     1 retrans     90 KB-cwnd
[2024-05-28 17:30:27.202060]     0.8125 MB /   0.50 sec =   13.6320 Mbps     0 retrans     96 KB-cwnd
[2024-05-28 17:30:27.629629]     0.8750 MB /   0.50 sec =   14.6816 Mbps     1 retrans     79 KB-cwnd
[2024-05-28 17:30:28.078421]     0.8125 MB /   0.50 sec =   13.6293 Mbps     0 retrans     83 KB-cwnd
[2024-05-28 17:30:28.589097]     0.7500 MB /   0.50 sec =   12.5843 Mbps     0 retrans     89 KB-cwnd
[2024-05-28 17:30:29.041618]     0.8125 MB /   0.50 sec =   13.6274 Mbps     2 retrans    119 KB-cwnd
[2024-05-28 17:30:29.933730]     0.8750 MB /   0.50 sec =   14.6848 Mbps     2 retrans    103 KB-cwnd
[2024-05-28 17:30:30.331831]     0.8750 MB /   0.50 sec =   14.6800 Mbps     0 retrans    107 KB-cwnd
[2024-05-28 17:30:30.736661]     0.8750 MB /   0.50 sec =   14.6797 Mbps     1 retrans    100 KB-cwnd
[2024-05-28 17:30:31.230815]     0.8125 MB /   0.50 sec =   13.6315 Mbps     1 retrans     82 KB-cwnd
[2024-05-28 17:30:31.673031]     0.8125 MB /   0.50 sec =   13.6313 Mbps     0 retrans     88 KB-cwnd
[2024-05-28 17:30:32.069783]     0.8750 MB /   0.50 sec =   14.6805 Mbps     1 retrans     81 KB-cwnd
[2024-05-28 17:30:32.924361]     0.8750 MB /   0.50 sec =   14.6799 Mbps     0 retrans     90 KB-cwnd
[2024-05-28 17:30:33.319179]     0.8750 MB /   0.50 sec =   14.6799 Mbps     0 retrans     94 KB-cwnd
[2024-05-28 17:30:33.688472]     1.0000 MB /   0.50 sec =   16.7776 Mbps     3 retrans     97 KB-cwnd
[2024-05-28 17:30:34.057684]     1.0625 MB /   0.50 sec =   17.8237 Mbps     0 retrans    103 KB-cwnd
[2024-05-28 17:30:34.778016]     1.0625 MB /   0.50 sec =   17.8274 Mbps     1 retrans    103 KB-cwnd
[2024-05-28 17:30:35.118863]     1.0625 MB /   0.50 sec =   17.8260 Mbps     0 retrans    108 KB-cwnd
[2024-05-28 17:30:35.886555]     1.0000 MB /   0.50 sec =   16.7776 Mbps     1 retrans     97 KB-cwnd
[2024-05-28 17:30:36.308057]     0.9375 MB /   0.50 sec =   15.7275 Mbps     1 retrans     92 KB-cwnd
[2024-05-28 17:30:36.670980]     0.9375 MB /   0.50 sec =   15.7298 Mbps     0 retrans     99 KB-cwnd
[2024-05-28 17:30:37.331208]     1.0625 MB /   0.50 sec =   17.8246 Mbps     2 retrans    103 KB-cwnd
[2024-05-28 17:30:37.692996]     1.1250 MB /   0.50 sec =   18.8750 Mbps     1 retrans     88 KB-cwnd
[2024-05-28 17:30:38.067039]     1.0000 MB /   0.50 sec =   16.7768 Mbps     0 retrans     94 KB-cwnd
[2024-05-28 17:30:38.769895]     0.9375 MB /   0.50 sec =   15.7292 Mbps     4 retrans    137 KB-cwnd
[2024-05-28 17:30:39.379816]     1.4375 MB /   0.50 sec =   24.1173 Mbps     2 retrans     96 KB-cwnd
[2024-05-28 17:30:39.767253]     1.0000 MB /   0.50 sec =   16.7772 Mbps     0 retrans    103 KB-cwnd
[2024-05-28 17:30:40.104127]     1.0625 MB /   0.50 sec =   17.8247 Mbps     1 retrans     96 KB-cwnd
[2024-05-28 17:30:40.559033]     0.8750 MB /   0.50 sec =   14.6808 Mbps     0 retrans    103 KB-cwnd
[2024-05-28 17:30:41.504926]     0.7500 MB /   0.50 sec =   12.5826 Mbps     1 retrans     93 KB-cwnd
[2024-05-28 17:30:42.148550]     0.7500 MB /   0.50 sec =   12.5832 Mbps     2 retrans     96 KB-cwnd
[2024-05-28 17:30:42.149074]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans     96 KB-cwnd
[2024-05-28 17:30:42.687849]     0.6875 MB /   0.50 sec =   11.5347 Mbps     2 retrans     81 KB-cwnd
[2024-05-28 17:30:43.254942]     0.6250 MB /   0.50 sec =   10.4858 Mbps     0 retrans     88 KB-cwnd
[2024-05-28 17:30:43.678715]     0.8125 MB /   0.50 sec =   13.6318 Mbps     1 retrans    100 KB-cwnd
[2024-05-28 17:30:44.130325]     0.8750 MB /   0.50 sec =   14.6759 Mbps     2 retrans     72 KB-cwnd
[2024-05-28 17:30:44.613157]     0.8125 MB /   0.50 sec =   13.6340 Mbps     0 retrans     79 KB-cwnd
[2024-05-28 17:30:45.080591]     0.7500 MB /   0.50 sec =   12.5810 Mbps     2 retrans    116 KB-cwnd
[2024-05-28 17:30:45.894647]     1.1250 MB /   0.50 sec =   18.8773 Mbps     5 retrans     70 KB-cwnd
[2024-05-28 17:30:46.435490]     0.7500 MB /   0.50 sec =   12.5830 Mbps     0 retrans     78 KB-cwnd
[2024-05-28 17:30:46.920505]     0.6250 MB /   0.50 sec =   10.4857 Mbps     3 retrans    132 KB-cwnd
[2024-05-28 17:30:47.359793]     0.7500 MB /   0.50 sec =   12.5827 Mbps     3 retrans     96 KB-cwnd
[2024-05-28 17:30:47.764654]     0.9375 MB /   0.50 sec =   15.7277 Mbps     0 retrans    101 KB-cwnd
[2024-05-28 17:30:48.260946]     0.8125 MB /   0.50 sec =   13.6327 Mbps     2 retrans     70 KB-cwnd
[2024-05-28 17:30:48.905303]     0.6250 MB /   0.50 sec =   10.4856 Mbps     0 retrans     78 KB-cwnd
[2024-05-28 17:30:49.496153]     0.6250 MB /   0.50 sec =   10.4853 Mbps     0 retrans    104 KB-cwnd
[2024-05-28 17:30:49.838248]     0.6250 MB /   0.50 sec =   10.4862 Mbps     2 retrans     92 KB-cwnd
[2024-05-28 17:30:50.310865]     1.0000 MB /   0.50 sec =   16.7767 Mbps     1 retrans     78 KB-cwnd
[2024-05-28 17:30:50.758410]     0.7500 MB /   0.50 sec =   12.5833 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:30:51.163427]     0.9375 MB /   0.50 sec =   15.7299 Mbps     3 retrans     83 KB-cwnd
[2024-05-28 17:30:51.619483]     0.8750 MB /   0.50 sec =   14.6789 Mbps     0 retrans     79 KB-cwnd
[2024-05-28 17:30:52.189361]     0.7500 MB /   0.50 sec =   12.5843 Mbps     1 retrans     75 KB-cwnd
[2024-05-28 17:30:52.887295]     0.4375 MB /   0.50 sec =    7.3390 Mbps     0 retrans     83 KB-cwnd
[2024-05-28 17:30:53.482868]     0.5625 MB /   0.50 sec =    9.4373 Mbps     0 retrans     93 KB-cwnd
[2024-05-28 17:30:53.917907]     0.6250 MB /   0.50 sec =   10.4860 Mbps     6 retrans    158 KB-cwnd
[2024-05-28 17:30:54.312173]     1.0625 MB /   0.50 sec =   17.8255 Mbps     6 retrans    107 KB-cwnd
[2024-05-28 17:30:54.799847]     0.8125 MB /   0.50 sec =   13.6317 Mbps     0 retrans    112 KB-cwnd
[2024-05-28 17:30:55.382436]     0.6875 MB /   0.50 sec =   11.5348 Mbps     2 retrans     94 KB-cwnd
[2024-05-28 17:30:55.800670]     0.6875 MB /   0.50 sec =   11.5336 Mbps     0 retrans    101 KB-cwnd
[2024-05-28 17:30:56.207337]     1.0000 MB /   0.50 sec =   16.7784 Mbps     1 retrans    104 KB-cwnd
[2024-05-28 17:30:57.315135]     0.8750 MB /   0.50 sec =   14.6797 Mbps     5 retrans     77 KB-cwnd
[2024-05-28 17:30:57.315633]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans     77 KB-cwnd
[2024-05-28 17:30:58.059029]     0.6250 MB /   0.50 sec =   10.4855 Mbps     3 retrans     53 KB-cwnd
[2024-05-28 17:30:58.059526]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans     53 KB-cwnd
[2024-05-28 17:30:59.176146]     0.3750 MB /   0.50 sec =    6.2918 Mbps     3 retrans    103 KB-cwnd
[2024-05-28 17:30:59.176726]     0.3125 MB /   0.50 sec =    5.2425 Mbps     0 retrans    104 KB-cwnd
[2024-05-28 17:30:59.782252]     0.6250 MB /   0.50 sec =   10.4852 Mbps     2 retrans     97 KB-cwnd
[2024-05-28 17:31:00.803576]     0.5000 MB /   0.50 sec =    8.3892 Mbps     4 retrans     66 KB-cwnd
[2024-05-28 17:31:00.804112]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans     66 KB-cwnd
[2024-05-28 17:31:01.651447]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     74 KB-cwnd
[2024-05-28 17:31:01.652215]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans     74 KB-cwnd
[2024-05-28 17:31:02.221211]     0.5625 MB /   0.50 sec =    9.4373 Mbps     3 retrans     86 KB-cwnd
[2024-05-28 17:31:02.807052]     0.6875 MB /   0.50 sec =   11.5348 Mbps     1 retrans     72 KB-cwnd
[2024-05-28 17:31:03.428891]     0.6250 MB /   0.50 sec =   10.4853 Mbps     1 retrans     63 KB-cwnd
[2024-05-28 17:31:04.365450]     0.5625 MB /   0.50 sec =    9.4374 Mbps     2 retrans     45 KB-cwnd
[2024-05-28 17:31:04.366066]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans     45 KB-cwnd
[2024-05-28 17:31:05.466103]     0.3125 MB /   0.50 sec =    5.2430 Mbps     2 retrans    107 KB-cwnd
[2024-05-28 17:31:05.466315]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans    108 KB-cwnd
[2024-05-28 17:31:05.873555]     0.6250 MB /   0.50 sec =   10.4858 Mbps     2 retrans     81 KB-cwnd
[2024-05-28 17:31:06.631355]     0.7500 MB /   0.50 sec =   12.5817 Mbps     2 retrans     56 KB-cwnd
[2024-05-28 17:31:06.631502]     0.4375 MB /   0.50 sec =    7.3409 Mbps     0 retrans     56 KB-cwnd
[2024-05-28 17:31:07.483981]     0.4375 MB /   0.50 sec =    7.3400 Mbps     2 retrans    114 KB-cwnd
[2024-05-28 17:31:07.836557]     0.6875 MB /   0.50 sec =   11.5341 Mbps     2 retrans    103 KB-cwnd
[2024-05-28 17:31:08.385867]     0.8125 MB /   0.50 sec =   13.6311 Mbps     2 retrans     70 KB-cwnd
[2024-05-28 17:31:09.085664]     0.5625 MB /   0.50 sec =    9.4375 Mbps     0 retrans     78 KB-cwnd
[2024-05-28 17:31:09.086314]     0.5625 MB /   0.50 sec =    9.4370 Mbps     0 retrans     78 KB-cwnd
[2024-05-28 17:31:09.583570]     0.6875 MB /   0.50 sec =   11.5344 Mbps     1 retrans    118 KB-cwnd
[2024-05-28 17:31:10.064662]     0.7500 MB /   0.50 sec =   12.5833 Mbps     2 retrans     81 KB-cwnd
[2024-05-28 17:31:10.740780]     0.5625 MB /   0.50 sec =    9.4373 Mbps     3 retrans     70 KB-cwnd
[2024-05-28 17:31:11.356650]     0.5625 MB /   0.50 sec =    9.4366 Mbps     0 retrans     92 KB-cwnd
[2024-05-28 17:31:12.057717]     0.6875 MB /   0.50 sec =   11.5345 Mbps     1 retrans     90 KB-cwnd
[2024-05-28 17:31:12.058228]     0.4375 MB /   0.50 sec =    7.3396 Mbps     0 retrans     90 KB-cwnd
[2024-05-28 17:31:12.615669]     0.6875 MB /   0.50 sec =   11.5348 Mbps     1 retrans     77 KB-cwnd
[2024-05-28 17:31:13.160993]     0.6875 MB /   0.50 sec =   11.5347 Mbps     0 retrans     85 KB-cwnd
[2024-05-28 17:31:13.716489]     0.6250 MB /   0.50 sec =   10.4855 Mbps     1 retrans     81 KB-cwnd
[2024-05-28 17:31:14.365319]     0.6875 MB /   0.50 sec =   11.5348 Mbps     1 retrans     70 KB-cwnd
[2024-05-28 17:31:14.991419]     0.5000 MB /   0.50 sec =    8.3883 Mbps     0 retrans     78 KB-cwnd
[2024-05-28 17:31:15.485049]     0.6250 MB /   0.50 sec =   10.4857 Mbps     2 retrans     79 KB-cwnd
[2024-05-28 17:31:16.069841]     0.8125 MB /   0.50 sec =   13.6318 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:31:16.070341]     0.5625 MB /   0.50 sec =    9.4374 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:31:16.811839]     0.5625 MB /   0.50 sec =    9.4367 Mbps     0 retrans     93 KB-cwnd
[2024-05-28 17:31:17.459601]     0.5625 MB /   0.50 sec =    9.4373 Mbps     3 retrans    103 KB-cwnd
[2024-05-28 17:31:18.197128]     0.5000 MB /   0.50 sec =    8.3887 Mbps     1 retrans     89 KB-cwnd
[2024-05-28 17:31:18.197672]     0.5625 MB /   0.50 sec =    9.4371 Mbps     0 retrans     89 KB-cwnd
[2024-05-28 17:31:18.948552]     0.5625 MB /   0.50 sec =    9.4371 Mbps     1 retrans     85 KB-cwnd
[2024-05-28 17:31:19.677557]     0.5000 MB /   0.50 sec =    8.3884 Mbps     1 retrans     74 KB-cwnd
[2024-05-28 17:31:19.678120]     0.5000 MB /   0.50 sec =    8.3891 Mbps     0 retrans     74 KB-cwnd
[2024-05-28 17:31:20.270495]     0.5625 MB /   0.50 sec =    9.4368 Mbps     0 retrans     82 KB-cwnd
[2024-05-28 17:31:20.681247]     0.6875 MB /   0.50 sec =   11.5341 Mbps     6 retrans    111 KB-cwnd
[2024-05-28 17:31:21.197241]     0.8750 MB /   0.50 sec =   14.6812 Mbps     3 retrans     93 KB-cwnd
[2024-05-28 17:31:21.771444]     0.6875 MB /   0.50 sec =   11.5345 Mbps     1 retrans     79 KB-cwnd
[2024-05-28 17:31:22.408198]     0.6250 MB /   0.50 sec =   10.4851 Mbps     1 retrans     70 KB-cwnd
[2024-05-28 17:31:23.026860]     0.5625 MB /   0.50 sec =    9.4374 Mbps     0 retrans     86 KB-cwnd
[2024-05-28 17:31:23.607655]     0.6250 MB /   0.50 sec =   10.4861 Mbps     4 retrans     64 KB-cwnd
[2024-05-28 17:31:23.607950]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans     64 KB-cwnd
[2024-05-28 17:31:24.309289]     0.5625 MB /   0.50 sec =    9.4370 Mbps     0 retrans     72 KB-cwnd
[2024-05-28 17:31:24.894040]     0.5625 MB /   0.50 sec =    9.4371 Mbps     1 retrans    103 KB-cwnd
[2024-05-28 17:31:25.497190]     0.6875 MB /   0.50 sec =   11.5345 Mbps     3 retrans     55 KB-cwnd
[2024-05-28 17:31:26.281501]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans     77 KB-cwnd
[2024-05-28 17:31:26.281856]     0.4375 MB /   0.50 sec =    7.3403 Mbps     0 retrans     77 KB-cwnd
[2024-05-28 17:31:26.925245]     0.6250 MB /   0.50 sec =   10.4853 Mbps     3 retrans     77 KB-cwnd
[2024-05-28 17:31:27.451008]     0.5625 MB /   0.50 sec =    9.4371 Mbps     1 retrans     67 KB-cwnd
[2024-05-28 17:31:28.013585]     0.6250 MB /   0.50 sec =   10.4859 Mbps     0 retrans     75 KB-cwnd
[2024-05-28 17:31:28.482140]     0.7500 MB /   0.50 sec =   12.5829 Mbps     1 retrans     89 KB-cwnd
[2024-05-28 17:31:28.947728]     0.8125 MB /   0.50 sec =   13.6314 Mbps     0 retrans     96 KB-cwnd
[2024-05-28 17:31:29.372806]     0.8125 MB /   0.50 sec =   13.6315 Mbps     2 retrans     86 KB-cwnd
[2024-05-28 17:31:29.966527]     0.8125 MB /   0.50 sec =   13.6313 Mbps     4 retrans     61 KB-cwnd
[2024-05-28 17:31:30.588496]     0.5625 MB /   0.50 sec =    9.4373 Mbps     3 retrans    118 KB-cwnd
[2024-05-28 17:31:30.588918]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans    118 KB-cwnd
