Start time: 1716824927647
[2024-05-27 11:48:48.896050] nuttcp-t: v8.1.4: socket
[2024-05-27 11:48:48.896857] nuttcp-t: buflen=65536, nstream=1, port=5001 tcp -> 35.245.244.238
[2024-05-27 11:48:48.896919] nuttcp-t: time limit = 120.00 seconds
[2024-05-27 11:48:48.896961] nuttcp-t: connect to 35.245.244.238 with mss=1376, RTT=61.613 ms af=inet
[2024-05-27 11:48:48.897007] nuttcp-t: send window size = 1048576, receive window size = 4194304
[2024-05-27 11:48:48.897048] nuttcp-t: available send window = 786432, available receive window = 3145728
[2024-05-27 11:48:48.897088] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-27 11:48:48.897125] nuttcp-r: v8.1.4: socket
[2024-05-27 11:48:48.897161] nuttcp-r: buflen=65536, nstream=1, port=5001 tcp
[2024-05-27 11:48:48.897197] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-27 11:48:48.897232] nuttcp-r: accept from 174.224.165.111 with af=inet
[2024-05-27 11:48:48.897269] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-27 11:48:48.897308] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-27 11:48:54.948552]     1.1250 MB /   0.50 sec =   18.8745 Mbps     0 retrans   1703 KB-cwnd
[2024-05-27 11:48:55.454991]     0.7500 MB /   0.50 sec =   12.5829 Mbps     0 retrans   1703 KB-cwnd
[2024-05-27 11:48:55.742640]     0.8750 MB /   0.50 sec =   14.6800 Mbps     0 retrans   1703 KB-cwnd
[2024-05-27 11:48:56.529926]     1.3750 MB /   0.50 sec =   23.0688 Mbps     0 retrans   1703 KB-cwnd
[2024-05-27 11:48:57.072671]     0.6875 MB /   0.50 sec =   11.5340 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:48:57.073264]     0.6250 MB /   0.50 sec =   10.4855 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:48:57.605604]     1.3125 MB /   0.50 sec =   22.0222 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:48:58.338268]     1.0625 MB /   0.50 sec =   17.8253 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:48:58.639460]     1.0000 MB /   0.50 sec =   16.7772 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:48:59.286556]     1.0625 MB /   0.50 sec =   17.8264 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:48:59.571490]     1.2500 MB /   0.50 sec =   20.9703 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:49:00.163765]     1.1875 MB /   0.50 sec =   19.9235 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:49:00.618060]     0.9375 MB /   0.50 sec =   15.7288 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:49:01.306253]     0.8750 MB /   0.50 sec =   14.6802 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:49:01.716117]     0.9375 MB /   0.50 sec =   15.7279 Mbps     0 retrans   1741 KB-cwnd
[2024-05-27 11:49:02.265643]     1.1250 MB /   0.50 sec =   18.8744 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:02.665694]     1.0000 MB /   0.50 sec =   16.7772 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:03.044391]     1.0000 MB /   0.50 sec =   16.7756 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:03.851767]     0.9375 MB /   0.50 sec =   15.7308 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:04.136752]     1.0625 MB /   0.50 sec =   17.8258 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:04.653055]     1.1875 MB /   0.50 sec =   19.9222 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:05.130992]     1.4375 MB /   0.50 sec =   24.1140 Mbps     0 retrans   1777 KB-cwnd
[2024-05-27 11:49:05.609744]     1.5625 MB /   0.50 sec =   26.2174 Mbps     0 retrans   1992 KB-cwnd
[2024-05-27 11:49:06.204122]     1.5000 MB /   0.50 sec =   25.1663 Mbps     0 retrans   1992 KB-cwnd
[2024-05-27 11:49:06.703169]     0.7500 MB /   0.50 sec =   12.5824 Mbps     0 retrans   2287 KB-cwnd
[2024-05-27 11:49:07.196152]     0.6875 MB /   0.50 sec =   11.5341 Mbps     0 retrans   3141 KB-cwnd
[2024-05-27 11:49:07.662491]     2.1875 MB /   0.50 sec =   36.7015 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:08.060336]     1.6250 MB /   0.50 sec =   27.2629 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:08.639283]     1.9375 MB /   0.50 sec =   32.5080 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:09.045554]     1.7500 MB /   0.50 sec =   29.3598 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:09.555263]     2.0625 MB /   0.50 sec =   34.6024 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:10.135497]     1.8125 MB /   0.50 sec =   30.4074 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:10.632338]     1.3750 MB /   0.50 sec =   23.0695 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:11.121859]     1.3750 MB /   0.50 sec =   23.0674 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:11.598972]     1.3750 MB /   0.50 sec =   23.0709 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:12.156448]     1.3125 MB /   0.50 sec =   22.0193 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:12.629639]     1.3125 MB /   0.50 sec =   22.0196 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:13.128399]     1.4375 MB /   0.50 sec =   24.1144 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:13.643923]     1.3750 MB /   0.50 sec =   23.0712 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:14.102595]     1.3750 MB /   0.50 sec =   23.0691 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:14.629380]     2.0000 MB /   0.50 sec =   33.5536 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:15.091371]     2.1250 MB /   0.50 sec =   35.6534 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:15.597775]     2.1250 MB /   0.50 sec =   35.6509 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:16.156779]     2.0000 MB /   0.50 sec =   33.5549 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:16.762496]     0.8125 MB /   0.50 sec =   13.6311 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:17.321368]     0.4375 MB /   0.50 sec =    7.3404 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:17.643652]     0.8125 MB /   0.50 sec =   13.6306 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:18.377336]     1.0000 MB /   0.50 sec =   16.7774 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:18.718212]     0.8125 MB /   0.50 sec =   13.6309 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:19.048245]     1.0625 MB /   0.50 sec =   17.8261 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:19.709696]     1.0000 MB /   0.50 sec =   16.7780 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:20.055480]     1.0000 MB /   0.50 sec =   16.7762 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:20.899335]     0.8125 MB /   0.50 sec =   13.6320 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:21.258505]     0.7500 MB /   0.50 sec =   12.5825 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:21.620261]     1.0000 MB /   0.50 sec =   16.7779 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:22.396407]     0.8750 MB /   0.50 sec =   14.6784 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:22.911214]     0.8125 MB /   0.50 sec =   13.6332 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:23.484661]     0.7500 MB /   0.50 sec =   12.5827 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:23.920691]     0.6250 MB /   0.50 sec =   10.4858 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:24.321216]     0.7500 MB /   0.50 sec =   12.5832 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:24.723849]     0.8750 MB /   0.50 sec =   14.6798 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:25.087278]     0.8750 MB /   0.50 sec =   14.6803 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:25.886224]     1.0000 MB /   0.50 sec =   16.7767 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:26.368072]     0.6875 MB /   0.50 sec =   11.5341 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:26.860951]     0.8125 MB /   0.50 sec =   13.6320 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:27.233317]     0.8125 MB /   0.50 sec =   13.6317 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:27.565454]     0.9375 MB /   0.50 sec =   15.7281 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:28.186248]     0.5625 MB /   0.50 sec =    9.4371 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:28.749434]     0.5625 MB /   0.50 sec =    9.4376 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:29.260924]     0.6250 MB /   0.50 sec =   10.4851 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:29.671366]     0.8125 MB /   0.50 sec =   13.6318 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:30.174805]     0.7500 MB /   0.50 sec =   12.5826 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:30.542499]     0.8750 MB /   0.50 sec =   14.6807 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:31.303171]     1.0000 MB /   0.50 sec =   16.7777 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:31.750202]     0.6875 MB /   0.50 sec =   11.5338 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:32.081149]     1.0000 MB /   0.50 sec =   16.7777 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:32.654205]     1.2500 MB /   0.50 sec =   20.9716 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:33.174414]     1.3125 MB /   0.50 sec =   22.0202 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:33.594022]     1.5625 MB /   0.50 sec =   26.2151 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:34.199131]     1.7500 MB /   0.50 sec =   29.3588 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:34.728376]     2.0625 MB /   0.50 sec =   34.6042 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:35.166032]     1.8750 MB /   0.50 sec =   31.4532 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:35.735209]     1.8125 MB /   0.50 sec =   30.4102 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:36.154416]     1.7500 MB /   0.50 sec =   29.3612 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:36.777766]     1.2500 MB /   0.50 sec =   20.9714 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:37.139808]     1.0000 MB /   0.50 sec =   16.7774 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:37.711225]     0.7500 MB /   0.50 sec =   12.5822 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:38.307696]     0.6250 MB /   0.50 sec =   10.4865 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:38.927729]     0.5625 MB /   0.50 sec =    9.4366 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:40.222803]     0.5625 MB /   0.50 sec =    9.4374 Mbps     1 retrans   3551 KB-cwnd
[2024-05-27 11:49:40.223019]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans   3551 KB-cwnd
[2024-05-27 11:49:40.223055]     0.1250 MB /   0.50 sec =    2.0972 Mbps     0 retrans   3551 KB-cwnd
