time,throughput_mbps,retrans,cwnd_kb
2024-05-27T11:46:23.296620,11.5317,0,13
2024-05-27T11:46:23.796537,29.3399,0,13
2024-05-27T11:46:24.296167,2.0988,0,13
2024-05-27T11:46:24.796228,16.7769,0,13
2024-05-27T11:46:25.296095,17.8265,0,13
2024-05-27T11:46:25.795813,13.6297,0,13
2024-05-27T11:46:26.295845,19.9235,0,13
2024-05-27T11:46:26.795791,16.7769,0,13
2024-05-27T11:46:27.295855,5.2433,0,13
2024-05-27T11:46:27.795990,16.7770,0,13
2024-05-27T11:46:28.296071,14.6711,0,13
2024-05-27T11:46:28.795758,12.5905,0,13
2024-05-27T11:46:29.295717,27.2646,0,13
2024-05-27T11:46:29.795892,17.8204,0,13
2024-05-27T11:46:30.295734,22.0263,0,13
2024-05-27T11:46:30.795741,19.9228,0,13
2024-05-27T11:46:31.295725,5.2429,0,13
2024-05-27T11:46:31.795911,7.3381,0,13
2024-05-27T11:46:32.296173,8.3877,0,13
2024-05-27T11:46:32.795744,11.5388,0,13
2024-05-27T11:46:33.295754,4.1942,0,13
2024-05-27T11:46:33.795758,3.1457,0,13
2024-05-27T11:46:34.295958,1.0482,0,13
2024-05-27T11:46:34.795737,4.1957,0,13
2024-05-27T11:46:35.296932,3.1388,0,13
2024-05-27T11:46:35.795906,1.0506,0,13
2024-05-27T11:46:36.295785,4.1953,0,13
2024-05-27T11:46:36.796343,3.1448,0,13
2024-05-27T11:46:37.295814,3.1463,0,13
2024-05-27T11:46:37.795893,3.1453,0,13
2024-05-27T11:46:38.295937,4.1941,0,13
2024-05-27T11:46:38.795998,4.1939,0,13
2024-05-27T11:46:39.296883,1.0468,0,13
2024-05-27T11:46:39.795698,4.2035,0,13
2024-05-27T11:46:40.295963,2.0963,0,13
2024-05-27T11:46:40.795788,6.2936,0,13
2024-05-27T11:46:41.295720,5.2432,0,13
2024-05-27T11:46:41.795836,6.2900,0,13
2024-05-27T11:46:42.295933,7.3414,0,13
2024-05-27T11:46:42.795771,7.3399,0,13
2024-05-27T11:46:43.295743,9.4377,0,13
2024-05-27T11:46:43.795794,4.1939,0,13
