time,throughput_mbps,retrans,cwnd_kb
2024-05-28T11:14:41.262050,6.2909,0,13
2024-05-28T11:14:41.760886,23.0680,0,13
2024-05-28T11:14:42.260679,101.6960,0,13
2024-05-28T11:14:42.760833,59.7697,0,13
2024-05-28T11:14:43.260584,133.1782,0,13
2024-05-28T11:14:43.760573,119.5482,0,13
2024-05-28T11:14:44.261630,87.9044,0,13
2024-05-28T11:14:44.761581,1.0487,0,13
2024-05-28T11:14:45.260857,65.1224,0,13
2024-05-28T11:14:45.761584,113.0500,0,13
2024-05-28T11:14:46.260656,125.0108,0,13
2024-05-28T11:14:46.760565,109.0643,0,13
2024-05-28T11:14:47.260601,131.0652,0,13
2024-05-28T11:14:47.761609,119.3074,0,13
2024-05-28T11:14:48.260640,110.3001,0,13
2024-05-28T11:14:48.760738,70.2459,0,13
2024-05-28T11:14:49.260900,73.4018,0,13
2024-05-28T11:14:49.760904,107.9990,0,13
2024-05-28T11:14:50.261598,95.2590,0,13
2024-05-28T11:14:50.761647,70.2476,0,13
2024-05-28T11:14:51.261612,132.1317,0,13
2024-05-28T11:14:51.760570,32.5711,0,13
2024-05-28T11:14:52.260556,111.1508,0,13
2024-05-28T11:14:52.760560,103.8092,0,13
2024-05-28T11:14:53.260573,110.0992,0,13
2024-05-28T11:14:53.760572,126.8698,0,13
2024-05-28T11:14:54.260801,115.3420,0,13
2024-05-28T11:14:54.760713,24.1139,0,13
2024-05-28T11:14:55.260691,66.0616,0,13
2024-05-28T11:14:55.760647,111.1571,0,13
2024-05-28T11:14:56.260694,84.9267,0,13
2024-05-28T11:14:56.760584,103.8304,0,13
2024-05-28T11:14:57.260705,72.3373,0,13
2024-05-28T11:14:57.760562,137.3931,0,13
2024-05-28T11:14:58.261218,94.2578,0,13
2024-05-28T11:14:58.760575,98.6852,0,13
2024-05-28T11:14:59.260532,72.3525,0,13
2024-05-28T11:14:59.760688,68.1424,0,13
2024-05-28T11:15:00.260667,83.8896,0,13
2024-05-28T11:15:00.760717,79.6876,0,13
2024-05-28T11:15:01.260483,141.5983,0,13
2024-05-28T11:15:01.760793,80.7302,0,13
2024-05-28T11:15:02.260665,55.5719,0,13
2024-05-28T11:15:02.760603,98.5746,0,13
2024-05-28T11:15:03.260570,103.8109,0,13
2024-05-28T11:15:03.760571,97.5183,0,13
2024-05-28T11:15:04.260585,99.6121,0,13
2024-05-28T11:15:04.760618,104.8498,0,13
2024-05-28T11:15:05.260563,109.0628,0,18
