Start time: 1716939772914
[2024-05-28 19:42:53.065634] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-28 19:42:53.066016] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=54 time=116 ms
[2024-05-28 19:42:53.230904] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=54 time=79.4 ms
[2024-05-28 19:42:53.429945] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=54 time=79.0 ms
[2024-05-28 19:42:53.639847] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=54 time=85.9 ms
[2024-05-28 19:42:53.857542] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=54 time=103 ms
[2024-05-28 19:42:54.049358] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=54 time=93.0 ms
[2024-05-28 19:42:54.258205] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=54 time=101 ms
[2024-05-28 19:42:54.439651] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=54 time=81.4 ms
[2024-05-28 19:42:54.658752] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=54 time=99.8 ms
[2024-05-28 19:42:54.850080] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=54 time=89.8 ms
[2024-05-28 19:42:55.046686] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=54 time=85.7 ms
[2024-05-28 19:42:55.240237] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=54 time=78.9 ms
[2024-05-28 19:42:55.462268] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=54 time=98.7 ms
[2024-05-28 19:42:55.650005] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=54 time=85.7 ms
[2024-05-28 19:42:55.867734] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=54 time=101 ms
[2024-05-28 19:42:56.057191] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=54 time=91.0 ms
[2024-05-28 19:42:56.259483] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=54 time=93.2 ms
[2024-05-28 19:42:56.467712] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=54 time=99.1 ms
