Start time: 1716999247864
[2024-05-29 12:14:08.033415] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-29 12:14:08.034239] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=55 time=100 ms
[2024-05-29 12:14:08.218320] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=55 time=85.0 ms
[2024-05-29 12:14:08.425513] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=55 time=91.5 ms
[2024-05-29 12:14:08.637470] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=55 time=101 ms
[2024-05-29 12:14:08.844157] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=55 time=107 ms
[2024-05-29 12:14:09.018295] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=55 time=79.5 ms
[2024-05-29 12:14:09.234374] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=55 time=95.1 ms
[2024-05-29 12:14:09.429658] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=55 time=87.5 ms
[2024-05-29 12:14:09.636066] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=55 time=93.6 ms
[2024-05-29 12:14:09.831093] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=55 time=87.0 ms
[2024-05-29 12:14:10.026926] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=55 time=82.3 ms
[2024-05-29 12:14:10.228045] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=55 time=81.9 ms
[2024-05-29 12:14:10.428308] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=55 time=81.3 ms
[2024-05-29 12:14:10.630794] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=55 time=81.9 ms
[2024-05-29 12:14:10.837909] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=55 time=87.6 ms
[2024-05-29 12:14:11.054395] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=55 time=102 ms
[2024-05-29 12:14:11.240521] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=55 time=88.3 ms
[2024-05-29 12:14:11.447018] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=55 time=93.8 ms
[2024-05-29 12:14:11.637454] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=55 time=84.3 ms
