Start time: 1716823746482
[2024-05-27 11:29:38.714979] Connecting to host 35.245.244.238, port 5203
[2024-05-27 11:29:38.715648] [  5] local 192.168.1.21 port 38145 connected to 35.245.244.238 port 5203
[2024-05-27 11:29:38.715703] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 11:29:38.717493] [  5]  27.00-27.50  sec  17.3 MBytes   290 Mbits/sec  12940  
[2024-05-27 11:29:38.717522] [  5]  27.50-28.00  sec  19.0 MBytes   318 Mbits/sec  14220  
[2024-05-27 11:29:38.717555] [  5]  28.00-28.50  sec  17.4 MBytes   292 Mbits/sec  13040  
[2024-05-27 11:29:38.717583] [  5]  28.50-29.00  sec  17.3 MBytes   290 Mbits/sec  12960  
[2024-05-27 11:29:38.717614] [  5]  29.00-29.50  sec  18.6 MBytes   312 Mbits/sec  13930  
[2024-05-27 11:29:38.717647] [  5]  29.50-30.00  sec  17.7 MBytes   296 Mbits/sec  13220  
[2024-05-27 11:29:38.717677] [  5]  30.00-30.50  sec  17.9 MBytes   300 Mbits/sec  13400  
[2024-05-27 11:29:38.717705] [  5]  30.50-31.00  sec  16.9 MBytes   284 Mbits/sec  12680  
[2024-05-27 11:29:38.717732] [  5]  31.00-31.50  sec  16.8 MBytes   282 Mbits/sec  12570  
[2024-05-27 11:30:11.715172] [  5]  31.50-32.00  sec  18.7 MBytes   314 Mbits/sec  14020  
[2024-05-27 11:30:11.715597] [  5]  32.00-32.50  sec  17.4 MBytes   291 Mbits/sec  13010  
[2024-05-27 11:30:11.715710] [  5]  32.50-33.00  sec  18.4 MBytes   309 Mbits/sec  13810  
[2024-05-27 11:30:11.715801] [  5]  33.00-33.50  sec  17.4 MBytes   292 Mbits/sec  13010  
[2024-05-27 11:30:11.715885] [  5]  33.50-34.00  sec  17.4 MBytes   291 Mbits/sec  13010  
[2024-05-27 11:30:11.715962] [  5]  34.00-34.50  sec  18.2 MBytes   305 Mbits/sec  13620  
[2024-05-27 11:30:11.716040] [  5]  34.50-35.00  sec  17.5 MBytes   294 Mbits/sec  13120  
[2024-05-27 11:30:11.716119] [  5]  35.00-35.50  sec  18.1 MBytes   303 Mbits/sec  13530  
[2024-05-27 11:30:11.716196] [  5]  35.50-36.00  sec  18.2 MBytes   305 Mbits/sec  13630  
[2024-05-27 11:30:11.716273] [  5]  36.00-36.50  sec  18.5 MBytes   310 Mbits/sec  13850  
[2024-05-27 11:30:11.716354] [  5]  36.50-37.00  sec  18.9 MBytes   318 Mbits/sec  14180  
[2024-05-27 11:30:11.716430] [  5]  37.00-37.50  sec  17.5 MBytes   294 Mbits/sec  13130  
[2024-05-27 11:30:11.716509] [  5]  37.50-38.00  sec  17.3 MBytes   289 Mbits/sec  12920  
[2024-05-27 11:30:11.716586] [  5]  38.00-38.50  sec  18.2 MBytes   305 Mbits/sec  13630  
[2024-05-27 11:30:11.716666] [  5]  38.50-39.00  sec  17.4 MBytes   293 Mbits/sec  13060  
[2024-05-27 11:30:11.716742] [  5]  39.00-39.50  sec  17.7 MBytes   297 Mbits/sec  13270  
[2024-05-27 11:30:11.716818] [  5]  39.50-40.00  sec  18.3 MBytes   308 Mbits/sec  13730  
[2024-05-27 11:30:11.716898] [  5]  40.00-40.50  sec  17.3 MBytes   290 Mbits/sec  12940  
[2024-05-27 11:30:11.716976] [  5]  40.50-41.00  sec  16.8 MBytes   282 Mbits/sec  12570  
[2024-05-27 11:30:11.717055] [  5]  41.00-41.50  sec  17.1 MBytes   287 Mbits/sec  12800  
[2024-05-27 11:30:11.717138] [  5]  41.50-42.00  sec  18.2 MBytes   305 Mbits/sec  13630  
[2024-05-27 11:30:11.717212] [  5]  42.00-42.50  sec  17.7 MBytes   296 Mbits/sec  13230  
[2024-05-27 11:30:11.717291] [  5]  42.50-43.00  sec  18.1 MBytes   304 Mbits/sec  13550  
[2024-05-27 11:30:11.717369] [  5]  43.00-43.50  sec  18.0 MBytes   302 Mbits/sec  13510  
[2024-05-27 11:30:11.717483] [  5]  43.50-44.00  sec  17.6 MBytes   296 Mbits/sec  13190  
[2024-05-27 11:30:11.717563] [  5]  44.00-44.50  sec  17.8 MBytes   299 Mbits/sec  13340  
[2024-05-27 11:30:11.717638] [  5]  44.50-45.00  sec  17.3 MBytes   290 Mbits/sec  12950  
[2024-05-27 11:30:11.717713] [  5]  45.00-45.50  sec  18.7 MBytes   314 Mbits/sec  14030  
[2024-05-27 11:30:11.717789] [  5]  45.50-46.00  sec  17.9 MBytes   301 Mbits/sec  13420  
[2024-05-27 11:30:11.717865] [  5]  46.00-46.50  sec  17.4 MBytes   291 Mbits/sec  13000  
[2024-05-27 11:30:11.717938] [  5]  46.50-47.00  sec  17.9 MBytes   301 Mbits/sec  13430  
[2024-05-27 11:30:11.718015] [  5]  47.00-47.50  sec  18.2 MBytes   306 Mbits/sec  13660  
[2024-05-27 11:30:11.718093] [  5]  47.50-48.00  sec  16.9 MBytes   283 Mbits/sec  12650  
[2024-05-27 11:30:11.718169] [  5]  48.00-48.50  sec  17.7 MBytes   298 Mbits/sec  13290  
[2024-05-27 11:30:11.718245] [  5]  48.50-49.00  sec  18.6 MBytes   312 Mbits/sec  13930  
[2024-05-27 11:30:11.718321] [  5]  49.00-49.50  sec  18.8 MBytes   316 Mbits/sec  14090  
