Start time: 1716923220273
[2024-05-28 15:07:23.137659] Connecting to host 35.245.244.238, port 5201
[2024-05-28 15:07:23.138271] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:07:23.138309] [  5] local 100.118.80.242 port 58248 connected to 35.245.244.238 port 5201
[2024-05-28 15:07:23.138340] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:07:23.139438] [  5]  20.00-20.50  sec  6.84 KBytes   112 Kbits/sec  634961.587 ms  22396/22401 (1e+02%)  
[2024-05-28 15:07:23.139460] [  5]  20.50-21.00  sec  6.84 KBytes   112 Kbits/sec  459837.066 ms  22463/22468 (1e+02%)  
[2024-05-28 15:07:46.137120] [  5]  21.00-21.50  sec  6.84 KBytes   112 Kbits/sec  333012.492 ms  22367/22372 (1e+02%)  
[2024-05-28 15:07:46.137866] [  5]  21.50-22.00  sec  6.84 KBytes   112 Kbits/sec  241166.536 ms  22311/22316 (1e+02%)  
[2024-05-28 15:07:46.138026] [  5]  22.00-22.50  sec  6.84 KBytes   112 Kbits/sec  174652.093 ms  22271/22276 (1e+02%)  
[2024-05-28 15:07:46.138147] [  5]  22.50-23.00  sec  6.84 KBytes   112 Kbits/sec  126482.513 ms  22378/22383 (1e+02%)  
[2024-05-28 15:07:46.138257] [  5]  23.00-23.50  sec  6.84 KBytes   112 Kbits/sec  91598.407 ms  22437/22442 (1e+02%)  
[2024-05-28 15:07:46.138362] [  5]  23.50-24.00  sec  6.84 KBytes   112 Kbits/sec  66335.439 ms  22449/22454 (1e+02%)  
[2024-05-28 15:07:46.138472] [  5]  24.00-24.50  sec  6.84 KBytes   112 Kbits/sec  48039.974 ms  22271/22276 (1e+02%)  
[2024-05-28 15:07:46.138580] [  5]  24.50-25.00  sec  6.84 KBytes   112 Kbits/sec  34790.534 ms  22359/22364 (1e+02%)  
[2024-05-28 15:07:46.138683] [  5]  25.00-25.50  sec  6.84 KBytes   112 Kbits/sec  25195.399 ms  22851/22856 (1e+02%)  
[2024-05-28 15:07:46.138788] [  5]  25.50-26.00  sec  6.84 KBytes   112 Kbits/sec  18246.674 ms  22630/22635 (1e+02%)  
[2024-05-28 15:07:46.138891] [  5]  26.00-26.50  sec  6.84 KBytes   112 Kbits/sec  13215.307 ms  22763/22768 (1e+02%)  
[2024-05-28 15:07:46.138995] [  5]  26.50-27.00  sec  5.47 KBytes  89.4 Kbits/sec  10209.011 ms  17986/17990 (1e+02%)  
[2024-05-28 15:07:46.139100] [  5]  27.00-27.50  sec  6.84 KBytes   112 Kbits/sec  7393.977 ms  22852/22857 (1e+02%)  
[2024-05-28 15:07:46.139204] [  5]  27.50-28.00  sec  6.84 KBytes   112 Kbits/sec  5356.033 ms  23880/23885 (1e+02%)  
[2024-05-28 15:07:46.139316] [  5]  28.00-28.50  sec  6.84 KBytes   112 Kbits/sec  3879.921 ms  23790/23795 (1e+02%)  
[2024-05-28 15:07:46.139419] [  5]  28.50-29.00  sec  5.47 KBytes  89.8 Kbits/sec  2999.412 ms  20754/20758 (1e+02%)  
[2024-05-28 15:07:46.139527] [  5]  29.00-29.50  sec  6.84 KBytes   112 Kbits/sec  2172.418 ms  22463/22468 (1e+02%)  
[2024-05-28 15:07:46.139634] [  5]  29.50-30.00  sec  6.84 KBytes   112 Kbits/sec  1574.044 ms  22636/22641 (1e+02%)  
[2024-05-28 15:07:46.139736] [  5]  30.00-30.50  sec  6.84 KBytes   112 Kbits/sec  1140.115 ms  22567/22572 (1e+02%)  
[2024-05-28 15:07:46.139841] [  5]  30.50-31.00  sec  6.84 KBytes   112 Kbits/sec  826.727 ms  22540/22545 (1e+02%)  
