Start time: 1716849980915
[2024-05-27 18:46:25.031700] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-27 18:46:25.032214] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=54 time=4056 ms
[2024-05-27 18:46:25.141098] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=54 time=3957 ms
[2024-05-27 18:46:25.141509] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=54 time=1668 ms
[2024-05-27 18:46:25.141640] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=54 time=1460 ms
[2024-05-27 18:46:25.141751] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=54 time=1253 ms
[2024-05-27 18:46:25.141855] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=54 time=1045 ms
[2024-05-27 18:46:25.141960] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=54 time=837 ms
[2024-05-27 18:46:25.142059] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=54 time=628 ms
[2024-05-27 18:46:25.142159] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=54 time=420 ms
[2024-05-27 18:46:25.142257] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=54 time=108 ms
[2024-05-27 18:46:25.339946] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=54 time=105 ms
[2024-05-27 18:46:25.546265] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=54 time=111 ms
[2024-05-27 18:46:25.738310] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=54 time=103 ms
[2024-05-27 18:46:25.935790] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=54 time=100 ms
[2024-05-27 18:46:26.136810] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=54 time=100 ms
[2024-05-27 18:46:26.337779] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=54 time=101 ms
[2024-05-27 18:46:26.555124] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=54 time=115 ms
[2024-05-27 18:46:26.769656] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=54 time=130 ms
[2024-05-27 18:46:26.953790] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=54 time=112 ms
