Start time: 1716836920598
[2024-05-27 15:09:14.078339] Connecting to host 35.245.244.238, port 5202
[2024-05-27 15:09:14.079772] [  5] local 10.96.167.85 port 56216 connected to 35.245.244.238 port 5202
[2024-05-27 15:09:14.079916] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 15:10:22.579079] [  5]  69.00-69.50  sec  0.00 Bytes  0.00 bits/sec  0  
[2024-05-27 15:10:22.579181] [  5]  69.50-70.00  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:10:22.579280] [  5]  70.00-70.50  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:10:22.579378] [  5]  70.50-71.00  sec  82.0 KBytes  1.34 Mbits/sec  60  
[2024-05-27 15:10:22.579477] [  5]  71.00-71.50  sec   164 KBytes  2.69 Mbits/sec  120  
[2024-05-27 15:10:22.579574] [  5]  71.50-72.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:10:22.579674] [  5]  72.00-72.50  sec  41.0 KBytes   671 Kbits/sec  30  
[2024-05-27 15:10:22.579773] [  5]  72.50-73.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:10:22.579869] [  5]  73.00-73.50  sec   314 KBytes  5.15 Mbits/sec  230  
[2024-05-27 15:10:22.579968] [  5]  73.50-74.00  sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 15:10:22.580069] [  5]  74.00-74.50  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:10:22.580170] [  5]  74.50-75.00  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:10:22.580268] [  5]  75.00-75.50  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:10:22.580368] [  5]  75.50-76.00  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:10:22.580466] [  5]  76.00-76.50  sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 15:10:22.580562] [  5]  76.50-77.00  sec   232 KBytes  3.81 Mbits/sec  170  
