Start time: 1716846166676
[2024-05-27 17:43:18.930605] Connecting to host 35.245.244.238, port 5203
[2024-05-27 17:43:18.931292] [  5] local 192.168.1.22 port 57330 connected to 35.245.244.238 port 5203
[2024-05-27 17:43:18.931350] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 17:43:18.932936] [  5]  27.00-27.50  sec  15.6 MBytes   261 Mbits/sec  11660  
[2024-05-27 17:43:18.932965] [  5]  27.50-28.00  sec  17.2 MBytes   288 Mbits/sec  12870  
[2024-05-27 17:43:18.932991] [  5]  28.00-28.50  sec  16.4 MBytes   274 Mbits/sec  12250  
[2024-05-27 17:43:18.933016] [  5]  28.50-29.00  sec  18.3 MBytes   308 Mbits/sec  13740  
[2024-05-27 17:43:18.933044] [  5]  29.00-29.50  sec  16.8 MBytes   282 Mbits/sec  12600  
[2024-05-27 17:43:18.933074] [  5]  29.50-30.00  sec  17.1 MBytes   286 Mbits/sec  12790  
[2024-05-27 17:43:18.933102] [  5]  30.00-30.50  sec  17.9 MBytes   301 Mbits/sec  13420  
[2024-05-27 17:43:18.933132] [  5]  30.50-31.00  sec  18.3 MBytes   307 Mbits/sec  13690  
[2024-05-27 17:43:18.933161] [  5]  31.00-31.50  sec  17.6 MBytes   295 Mbits/sec  13170  
[2024-05-27 17:43:51.929971] [  5]  31.50-32.00  sec  16.4 MBytes   276 Mbits/sec  12310  
[2024-05-27 17:43:51.930165] [  5]  32.00-32.50  sec  16.9 MBytes   283 Mbits/sec  12630  
[2024-05-27 17:43:51.930198] [  5]  32.50-33.00  sec  17.9 MBytes   301 Mbits/sec  13430  
[2024-05-27 17:43:51.930224] [  5]  33.00-33.50  sec  17.6 MBytes   295 Mbits/sec  13150  
[2024-05-27 17:43:51.930249] [  5]  33.50-34.00  sec  17.8 MBytes   298 Mbits/sec  13310  
[2024-05-27 17:43:51.930275] [  5]  34.00-34.50  sec  17.8 MBytes   299 Mbits/sec  13350  
[2024-05-27 17:43:51.930301] [  5]  34.50-35.00  sec  17.6 MBytes   296 Mbits/sec  13200  
[2024-05-27 17:43:51.930328] [  5]  35.00-35.50  sec  18.3 MBytes   306 Mbits/sec  13670  
[2024-05-27 17:43:51.930352] [  5]  35.50-36.00  sec  17.9 MBytes   300 Mbits/sec  13390  
[2024-05-27 17:43:51.930377] [  5]  36.00-36.50  sec  17.2 MBytes   288 Mbits/sec  12870  
[2024-05-27 17:43:51.930403] [  5]  36.50-37.00  sec  16.4 MBytes   276 Mbits/sec  12320  
[2024-05-27 17:43:51.930427] [  5]  37.00-37.50  sec  18.4 MBytes   308 Mbits/sec  13750  
[2024-05-27 17:43:51.930451] [  5]  37.50-38.00  sec  18.1 MBytes   304 Mbits/sec  13550  
[2024-05-27 17:43:51.930474] [  5]  38.00-38.50  sec  17.6 MBytes   295 Mbits/sec  13190  
[2024-05-27 17:43:51.930499] [  5]  38.50-39.00  sec  18.2 MBytes   305 Mbits/sec  13600  
[2024-05-27 17:43:51.930522] [  5]  39.00-39.50  sec  17.4 MBytes   292 Mbits/sec  13030  
[2024-05-27 17:43:51.930546] [  5]  39.50-40.00  sec  17.7 MBytes   297 Mbits/sec  13260  
[2024-05-27 17:43:51.930569] [  5]  40.00-40.50  sec  17.3 MBytes   291 Mbits/sec  12990  
[2024-05-27 17:43:51.930592] [  5]  40.50-41.00  sec  18.5 MBytes   311 Mbits/sec  13870  
[2024-05-27 17:43:51.930615] [  5]  41.00-41.50  sec  17.4 MBytes   293 Mbits/sec  13060  
[2024-05-27 17:43:51.930638] [  5]  41.50-42.00  sec  18.0 MBytes   302 Mbits/sec  13500  
[2024-05-27 17:43:51.930664] [  5]  42.00-42.50  sec  18.2 MBytes   305 Mbits/sec  13610  
[2024-05-27 17:43:51.930687] [  5]  42.50-43.00  sec  16.9 MBytes   283 Mbits/sec  12640  
[2024-05-27 17:43:51.930711] [  5]  43.00-43.50  sec  17.7 MBytes   296 Mbits/sec  13230  
[2024-05-27 17:43:51.930755] [  5]  43.50-44.00  sec  18.3 MBytes   306 Mbits/sec  13670  
[2024-05-27 17:43:51.930779] [  5]  44.00-44.50  sec  17.3 MBytes   290 Mbits/sec  12930  
[2024-05-27 17:43:51.930804] [  5]  44.50-45.00  sec  17.8 MBytes   299 Mbits/sec  13330  
[2024-05-27 17:43:51.930826] [  5]  45.00-45.50  sec  17.5 MBytes   293 Mbits/sec  13090  
[2024-05-27 17:43:51.930847] [  5]  45.50-46.00  sec  17.3 MBytes   290 Mbits/sec  12950  
[2024-05-27 17:43:51.930869] [  5]  46.00-46.50  sec  17.1 MBytes   287 Mbits/sec  12820  
[2024-05-27 17:43:51.930893] [  5]  46.50-47.00  sec  16.9 MBytes   284 Mbits/sec  12690  
[2024-05-27 17:43:51.930914] [  5]  47.00-47.50  sec  18.6 MBytes   312 Mbits/sec  13940  
[2024-05-27 17:43:51.930936] [  5]  47.50-48.00  sec  17.3 MBytes   290 Mbits/sec  12960  
[2024-05-27 17:43:51.930980] [  5]  48.00-48.50  sec  17.3 MBytes   291 Mbits/sec  12990  
[2024-05-27 17:43:51.931001] [  5]  48.50-49.00  sec  17.3 MBytes   291 Mbits/sec  12970  
[2024-05-27 17:43:51.931070] [  5]  49.00-49.50  sec  17.4 MBytes   291 Mbits/sec  13010  
[2024-05-27 17:43:51.931092] [  5]  49.50-50.00  sec  18.9 MBytes   317 Mbits/sec  14170  
[2024-05-27 17:43:51.931113] [  5]  50.00-50.50  sec  17.0 MBytes   285 Mbits/sec  12730  
[2024-05-27 17:43:51.931135] [  5]  50.50-51.00  sec  18.3 MBytes   306 Mbits/sec  13680  
[2024-05-27 17:43:51.931155] [  5]  51.00-51.50  sec  17.2 MBytes   289 Mbits/sec  12890  
[2024-05-27 17:43:51.931178] [  5]  51.50-52.00  sec  17.4 MBytes   292 Mbits/sec  13020  
[2024-05-27 17:43:51.931199] [  5]  52.00-52.50  sec  18.3 MBytes   307 Mbits/sec  13720  
[2024-05-27 17:43:51.931220] [  5]  52.50-53.00  sec  17.5 MBytes   293 Mbits/sec  13080  
[2024-05-27 17:43:51.931242] [  5]  53.00-53.50  sec  16.3 MBytes   274 Mbits/sec  12210  
[2024-05-27 17:43:51.931262] [  5]  53.50-54.00  sec  18.3 MBytes   307 Mbits/sec  13700  
[2024-05-27 17:43:51.931283] [  5]  54.00-54.50  sec  16.6 MBytes   279 Mbits/sec  12450  
[2024-05-27 17:43:51.931304] [  5]  54.50-55.00  sec  16.8 MBytes   283 Mbits/sec  12620  
[2024-05-27 17:43:51.931326] [  5]  55.00-55.50  sec  17.2 MBytes   289 Mbits/sec  12890  
[2024-05-27 17:43:51.931346] [  5]  55.50-56.00  sec  16.9 MBytes   283 Mbits/sec  12640  
[2024-05-27 17:43:51.931367] [  5]  56.00-56.50  sec  17.7 MBytes   296 Mbits/sec  13230  
[2024-05-27 17:43:51.931388] [  5]  56.50-57.00  sec  16.8 MBytes   282 Mbits/sec  12590  
[2024-05-27 17:43:51.931435] [  5]  57.00-57.50  sec  17.6 MBytes   295 Mbits/sec  13150  
[2024-05-27 17:43:51.931456] [  5]  57.50-58.00  sec  18.8 MBytes   316 Mbits/sec  14110  
[2024-05-27 17:43:51.931479] [  5]  58.00-58.50  sec  16.2 MBytes   271 Mbits/sec  12150  
[2024-05-27 17:43:51.931501] [  5]  58.50-59.00  sec  18.6 MBytes   313 Mbits/sec  13930  
[2024-05-27 17:43:51.931522] [  5]  59.00-59.50  sec  16.7 MBytes   280 Mbits/sec  12480  
[2024-05-27 17:43:51.931547] [  5]  59.50-60.00  sec  16.9 MBytes   283 Mbits/sec  12650  
[2024-05-27 17:43:51.931568] [  5]  60.00-60.50  sec  18.3 MBytes   308 Mbits/sec  13730  
