Start time: 1716841866300
[2024-05-27 16:31:40.730896] Connecting to host 35.245.244.238, port 5201
[2024-05-27 16:31:40.731637] [  5] local 100.126.163.120 port 54047 connected to 35.245.244.238 port 5201
[2024-05-27 16:31:40.731747] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 16:31:40.731785] [  5]   0.00-0.50   sec   588 KBytes  9.61 Mbits/sec  430  
[2024-05-27 16:31:40.731817] [  5]   0.50-1.00   sec  54.7 KBytes   895 Kbits/sec  40  
[2024-05-27 16:31:40.731848] [  5]   1.00-1.50   sec  68.4 KBytes  1.12 Mbits/sec  50  
[2024-05-27 16:31:40.731877] [  5]   1.50-2.00   sec   123 KBytes  2.01 Mbits/sec  90  
[2024-05-27 16:31:40.731907] [  5]   2.00-2.50   sec   109 KBytes  1.80 Mbits/sec  80  
[2024-05-27 16:31:40.731936] [  5]   2.50-3.00   sec  95.7 KBytes  1.56 Mbits/sec  70  
[2024-05-27 16:31:40.731966] [  5]   3.00-3.50   sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 16:31:40.731996] [  5]   3.50-4.00   sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 16:31:40.732024] [  5]   4.00-4.50   sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 16:31:40.732053] [  5]   4.50-5.00   sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 16:31:40.732082] [  5]   5.00-5.50   sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 16:31:40.732111] [  5]   5.50-6.00   sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 16:31:40.732141] [  5]   6.00-6.50   sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 16:31:40.732169] [  5]   6.50-7.00   sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 16:31:40.732198] [  5]   7.00-7.50   sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 16:31:40.732227] [  5]   7.50-8.00   sec  95.7 KBytes  1.57 Mbits/sec  70  
[2024-05-27 16:31:40.732255] [  5]   8.00-8.50   sec  41.0 KBytes   673 Kbits/sec  30  
[2024-05-27 16:31:40.732288] [  5]   8.50-9.00   sec  82.0 KBytes  1.34 Mbits/sec  60  
[2024-05-27 16:31:40.732316] [  5]   9.00-9.50   sec   150 KBytes  2.47 Mbits/sec  110  
[2024-05-27 16:31:40.732345] [  5]   9.50-10.00  sec  41.0 KBytes   670 Kbits/sec  30  
[2024-05-27 16:31:40.732373] [  5]  10.00-10.50  sec  27.3 KBytes   449 Kbits/sec  20  
[2024-05-27 16:31:40.732401] [  5]  10.50-11.00  sec  13.7 KBytes   223 Kbits/sec  10  
[2024-05-27 16:31:40.732429] [  5]  11.00-11.50  sec  54.7 KBytes   898 Kbits/sec  40  
[2024-05-27 16:31:40.732457] [  5]  11.50-12.00  sec  54.7 KBytes   894 Kbits/sec  40  
[2024-05-27 16:31:40.732487] [  5]  12.00-12.50  sec  27.3 KBytes   449 Kbits/sec  20  
[2024-05-27 16:31:40.732515] [  5]  12.50-13.00  sec  27.3 KBytes   447 Kbits/sec  20  
[2024-05-27 16:31:40.732543] [  5]  13.00-13.50  sec  41.0 KBytes   672 Kbits/sec  30  
