Start time: 1716932495084
[2024-05-28 17:41:36.198917] nuttcp-t: v8.1.4: socket
[2024-05-28 17:41:36.199965] nuttcp-t: buflen=65536, nstream=1, port=5002 tcp -> 35.245.244.238
[2024-05-28 17:41:36.200050] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 17:41:36.200121] nuttcp-t: connect to 35.245.244.238 with mss=1378, RTT=73.150 ms af=inet
[2024-05-28 17:41:36.200186] nuttcp-t: send window size = 524288, receive window size = 4194304
[2024-05-28 17:41:36.200250] nuttcp-t: available send window = 393216, available receive window = 3145728
[2024-05-28 17:41:36.200311] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 17:41:36.200372] nuttcp-r: v8.1.4: socket
[2024-05-28 17:41:36.200433] nuttcp-r: buflen=65536, nstream=1, port=5002 tcp
[2024-05-28 17:41:36.200492] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 17:41:36.200554] nuttcp-r: accept from 107.122.244.82 with af=inet
[2024-05-28 17:41:36.200615] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 17:41:36.200676] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 17:42:02.973584]     0.2500 MB /   0.50 sec =    4.1947 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:03.582892]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:04.400478]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:04.400923]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:04.991423]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:05.624713]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:06.264730]     0.3125 MB /   0.50 sec =    5.2428 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:06.265179]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:06.854641]     0.3125 MB /   0.50 sec =    5.2433 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:07.401202]     0.3125 MB /   0.50 sec =    5.2416 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:07.866933]     0.3750 MB /   0.50 sec =    6.2931 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:08.330301]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:08.749665]     0.4375 MB /   0.50 sec =    7.3399 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:09.140679]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:09.899569]     0.5000 MB /   0.50 sec =    8.3887 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:10.338921]     0.4375 MB /   0.50 sec =    7.3396 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:10.754354]     0.3750 MB /   0.50 sec =    6.2918 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:11.526584]     0.5000 MB /   0.50 sec =    8.3887 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:12.015667]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:12.478885]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:13.126662]     0.3750 MB /   0.50 sec =    6.2914 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:14.036767]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:14.037169]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:14.771038]     0.1875 MB /   0.50 sec =    3.1456 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:14.771544]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:15.360205]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:16.131173]     0.2500 MB /   0.50 sec =    4.1943 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:17.040803]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:17.041258]     0.2500 MB /   0.50 sec =    4.1941 Mbps     0 retrans    994 KB-cwnd
[2024-05-28 17:42:18.172908]     0.1875 MB /   0.50 sec =    3.1458 Mbps     0 retrans    994 KB-cwnd
