Start time: 1716833431198
[2024-05-27 14:10:32.483936] nuttcp-t: v8.1.4: socket
[2024-05-27 14:10:32.484894] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-27 14:10:32.484958] nuttcp-t: time limit = 120.00 seconds
[2024-05-27 14:10:32.485004] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=47.189 ms af=inet
[2024-05-27 14:10:32.485048] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-27 14:10:32.485089] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-27 14:10:32.485128] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-27 14:10:32.485169] nuttcp-r: v8.1.4: socket
[2024-05-27 14:10:32.485207] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-27 14:10:32.485244] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-27 14:10:32.485284] nuttcp-r: accept from 98.97.21.66 with af=inet
[2024-05-27 14:10:32.485324] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-27 14:10:32.485362] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-27 14:10:53.635278]     0.3750 MB /   0.50 sec =    6.2917 Mbps    10 retrans     44 KB-cwnd
[2024-05-27 14:10:53.635774]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans     44 KB-cwnd
[2024-05-27 14:10:54.596266]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:54.596594]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     42 KB-cwnd
[2024-05-27 14:10:55.743596]     0.3750 MB /   0.50 sec =    6.2913 Mbps     5 retrans     35 KB-cwnd
[2024-05-27 14:10:55.744182]     0.2500 MB /   0.50 sec =    4.1942 Mbps     0 retrans     35 KB-cwnd
[2024-05-27 14:10:56.848845]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     44 KB-cwnd
[2024-05-27 14:10:56.849349]     0.3750 MB /   0.50 sec =    6.2910 Mbps     0 retrans     44 KB-cwnd
[2024-05-27 14:11:00.120997]     0.2500 MB /   0.50 sec =    4.1945 Mbps    52 retrans     20 KB-cwnd
[2024-05-27 14:11:00.121235]     0.3750 MB /   0.50 sec =    6.2907 Mbps     0 retrans     20 KB-cwnd
[2024-05-27 14:11:00.121291]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     20 KB-cwnd
[2024-05-27 14:11:00.121338]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     20 KB-cwnd
[2024-05-27 14:11:00.121379]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans     20 KB-cwnd
[2024-05-27 14:11:00.121431]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     20 KB-cwnd
[2024-05-27 14:11:00.121477]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans     20 KB-cwnd
[2024-05-27 14:11:00.729239]     0.4375 MB /   0.50 sec =    7.3400 Mbps     1 retrans    134 KB-cwnd
[2024-05-27 14:11:01.210687]     0.8125 MB /   0.50 sec =   13.6323 Mbps     1 retrans    114 KB-cwnd
[2024-05-27 14:11:01.651236]     0.7500 MB /   0.50 sec =   12.5831 Mbps     1 retrans     94 KB-cwnd
[2024-05-27 14:11:02.186932]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans     99 KB-cwnd
[2024-05-27 14:11:02.679956]     0.6875 MB /   0.50 sec =   11.5334 Mbps     0 retrans    104 KB-cwnd
[2024-05-27 14:11:03.202756]     0.6875 MB /   0.50 sec =   11.5354 Mbps     1 retrans     97 KB-cwnd
[2024-05-27 14:11:03.696440]     0.6250 MB /   0.50 sec =   10.4845 Mbps     0 retrans    101 KB-cwnd
[2024-05-27 14:11:04.221546]     0.6250 MB /   0.50 sec =   10.4870 Mbps     0 retrans    105 KB-cwnd
[2024-05-27 14:11:04.730769]     0.7500 MB /   0.50 sec =   12.5829 Mbps     0 retrans    114 KB-cwnd
[2024-05-27 14:11:05.209975]     0.6250 MB /   0.50 sec =   10.4864 Mbps     1 retrans    108 KB-cwnd
[2024-05-27 14:11:05.802090]     0.6250 MB /   0.50 sec =   10.4851 Mbps     1 retrans     90 KB-cwnd
[2024-05-27 14:11:06.353726]     0.6250 MB /   0.50 sec =   10.4848 Mbps     0 retrans     96 KB-cwnd
[2024-05-27 14:11:06.838184]     0.6250 MB /   0.50 sec =   10.4867 Mbps     0 retrans    100 KB-cwnd
[2024-05-27 14:11:07.403196]     0.6250 MB /   0.50 sec =   10.4850 Mbps     3 retrans    126 KB-cwnd
[2024-05-27 14:11:07.848552]     0.8125 MB /   0.50 sec =   13.6309 Mbps     1 retrans    116 KB-cwnd
[2024-05-27 14:11:08.318718]     0.8750 MB /   0.50 sec =   14.6804 Mbps     1 retrans    100 KB-cwnd
[2024-05-27 14:11:09.209376]     0.5000 MB /   0.50 sec =    8.3893 Mbps    37 retrans     85 KB-cwnd
[2024-05-27 14:11:09.209627]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     85 KB-cwnd
[2024-05-27 14:11:09.775309]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans     90 KB-cwnd
[2024-05-27 14:11:10.330266]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans     94 KB-cwnd
[2024-05-27 14:11:10.867332]     0.6875 MB /   0.50 sec =   11.5337 Mbps     1 retrans    158 KB-cwnd
[2024-05-27 14:11:11.236488]     0.8750 MB /   0.50 sec =   14.6813 Mbps     2 retrans    112 KB-cwnd
[2024-05-27 14:11:12.215076]     0.8125 MB /   0.50 sec =   13.6307 Mbps     3 retrans     78 KB-cwnd
[2024-05-27 14:11:12.215348]     0.6875 MB /   0.50 sec =   11.5349 Mbps     0 retrans     78 KB-cwnd
[2024-05-27 14:11:12.667483]     0.8750 MB /   0.50 sec =   14.6795 Mbps     1 retrans     64 KB-cwnd
[2024-05-27 14:11:13.176596]     0.6250 MB /   0.50 sec =   10.4862 Mbps     0 retrans     70 KB-cwnd
[2024-05-27 14:11:13.692905]     0.6875 MB /   0.50 sec =   11.5340 Mbps     0 retrans     75 KB-cwnd
[2024-05-27 14:11:14.228655]     0.5625 MB /   0.50 sec =    9.4374 Mbps     2 retrans    105 KB-cwnd
[2024-05-27 14:11:14.689152]     0.7500 MB /   0.50 sec =   12.5829 Mbps     2 retrans     72 KB-cwnd
[2024-05-27 14:11:15.267419]     0.6250 MB /   0.50 sec =   10.4858 Mbps     0 retrans     78 KB-cwnd
[2024-05-27 14:11:15.770133]     0.6875 MB /   0.50 sec =   11.5336 Mbps     0 retrans     82 KB-cwnd
[2024-05-27 14:11:16.268127]     0.6250 MB /   0.50 sec =   10.4867 Mbps     0 retrans    127 KB-cwnd
[2024-05-27 14:11:16.651236]     0.7500 MB /   0.50 sec =   12.5826 Mbps     4 retrans    116 KB-cwnd
[2024-05-27 14:11:17.424062]     1.0000 MB /   0.50 sec =   16.7771 Mbps     2 retrans     81 KB-cwnd
[2024-05-27 14:11:17.836336]     0.8125 MB /   0.50 sec =   13.6303 Mbps     0 retrans     88 KB-cwnd
[2024-05-27 14:11:18.227566]     0.8750 MB /   0.50 sec =   14.6817 Mbps     1 retrans     79 KB-cwnd
[2024-05-27 14:11:18.656383]     0.8125 MB /   0.50 sec =   13.6312 Mbps     0 retrans     85 KB-cwnd
[2024-05-27 14:11:19.069094]     0.8125 MB /   0.50 sec =   13.6320 Mbps     0 retrans     89 KB-cwnd
[2024-05-27 14:11:19.935309]     0.8750 MB /   0.50 sec =   14.6796 Mbps     2 retrans     96 KB-cwnd
[2024-05-27 14:11:20.379444]     0.6875 MB /   0.50 sec =   11.5342 Mbps     0 retrans     99 KB-cwnd
[2024-05-27 14:11:20.871867]     0.6875 MB /   0.50 sec =   11.5342 Mbps     1 retrans     82 KB-cwnd
[2024-05-27 14:11:21.413293]     0.6875 MB /   0.50 sec =   11.5340 Mbps     0 retrans     86 KB-cwnd
[2024-05-27 14:11:21.962438]     0.6250 MB /   0.50 sec =   10.4857 Mbps     1 retrans     74 KB-cwnd
[2024-05-27 14:11:22.546768]     0.6250 MB /   0.50 sec =   10.4859 Mbps     0 retrans     78 KB-cwnd
[2024-05-27 14:11:23.043210]     0.5625 MB /   0.50 sec =    9.4366 Mbps     1 retrans     72 KB-cwnd
[2024-05-27 14:11:23.498486]     0.7500 MB /   0.50 sec =   12.5845 Mbps     0 retrans     78 KB-cwnd
[2024-05-27 14:11:23.951278]     0.7500 MB /   0.50 sec =   12.5826 Mbps     0 retrans     88 KB-cwnd
[2024-05-27 14:11:24.244821]     0.7500 MB /   0.50 sec =   12.5829 Mbps     5 retrans    101 KB-cwnd
[2024-05-27 14:11:24.654333]     1.0000 MB /   0.50 sec =   16.7771 Mbps     2 retrans     67 KB-cwnd
[2024-05-27 14:11:25.147187]     0.6875 MB /   0.50 sec =   11.5331 Mbps     0 retrans     74 KB-cwnd
[2024-05-27 14:11:25.703532]     0.6250 MB /   0.50 sec =   10.4858 Mbps     2 retrans     79 KB-cwnd
[2024-05-27 14:11:26.304469]     0.5625 MB /   0.50 sec =    9.4381 Mbps     0 retrans     86 KB-cwnd
[2024-05-27 14:11:27.032290]     0.6250 MB /   0.50 sec =   10.4858 Mbps     2 retrans     74 KB-cwnd
[2024-05-27 14:11:27.835738]     0.3750 MB /   0.50 sec =    6.2913 Mbps     2 retrans     66 KB-cwnd
[2024-05-27 14:11:27.836175]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans     66 KB-cwnd
[2024-05-27 14:11:28.673906]     0.3750 MB /   0.50 sec =    6.2908 Mbps     2 retrans     64 KB-cwnd
[2024-05-27 14:11:28.674420]     0.5000 MB /   0.50 sec =    8.3894 Mbps     0 retrans     64 KB-cwnd
[2024-05-27 14:11:29.211785]     0.5625 MB /   0.50 sec =    9.4374 Mbps     0 retrans     72 KB-cwnd
[2024-05-27 14:11:29.795907]     0.6250 MB /   0.50 sec =   10.4854 Mbps     9 retrans    107 KB-cwnd
[2024-05-27 14:11:30.211208]     0.8750 MB /   0.50 sec =   14.6805 Mbps     6 retrans     70 KB-cwnd
[2024-05-27 14:11:30.709788]     0.6875 MB /   0.50 sec =   11.5344 Mbps     0 retrans     75 KB-cwnd
[2024-05-27 14:11:31.157168]     0.7500 MB /   0.50 sec =   12.5828 Mbps     0 retrans     81 KB-cwnd
[2024-05-27 14:11:31.653059]     0.7500 MB /   0.50 sec =   12.5820 Mbps     5 retrans    130 KB-cwnd
[2024-05-27 14:11:32.200221]     0.6250 MB /   0.50 sec =   10.4864 Mbps    10 retrans     64 KB-cwnd
[2024-05-27 14:11:32.948817]     0.4375 MB /   0.50 sec =    7.3396 Mbps     0 retrans     59 KB-cwnd
[2024-05-27 14:11:33.598791]     0.4375 MB /   0.50 sec =    7.3404 Mbps     2 retrans    141 KB-cwnd
[2024-05-27 14:11:33.599428]     0.4375 MB /   0.50 sec =    7.3400 Mbps     0 retrans    141 KB-cwnd
[2024-05-27 14:11:34.091213]     0.6875 MB /   0.50 sec =   11.5345 Mbps     7 retrans     74 KB-cwnd
[2024-05-27 14:11:34.714982]     0.6250 MB /   0.50 sec =   10.4855 Mbps     0 retrans     81 KB-cwnd
[2024-05-27 14:11:35.299500]     0.6875 MB /   0.50 sec =   11.5349 Mbps     4 retrans     53 KB-cwnd
[2024-05-27 14:11:35.905397]     0.5625 MB /   0.50 sec =    9.4370 Mbps     0 retrans     63 KB-cwnd
[2024-05-27 14:11:36.737547]     0.4375 MB /   0.50 sec =    7.3398 Mbps     5 retrans     48 KB-cwnd
[2024-05-27 14:11:36.738275]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans     48 KB-cwnd
[2024-05-27 14:11:37.328982]     0.5000 MB /   0.50 sec =    8.3881 Mbps     2 retrans     60 KB-cwnd
[2024-05-27 14:11:37.973831]     0.5625 MB /   0.50 sec =    9.4379 Mbps     0 retrans     68 KB-cwnd
[2024-05-27 14:11:38.603804]     0.5625 MB /   0.50 sec =    9.4366 Mbps     2 retrans    127 KB-cwnd
[2024-05-27 14:11:38.604108]     0.5000 MB /   0.50 sec =    8.3888 Mbps     0 retrans    127 KB-cwnd
[2024-05-27 14:11:39.403470]     1.0000 MB /   0.50 sec =   16.7767 Mbps     2 retrans    101 KB-cwnd
[2024-05-27 14:11:40.142169]     0.6250 MB /   0.50 sec =   10.4861 Mbps     5 retrans     67 KB-cwnd
[2024-05-27 14:11:40.142654]     0.5000 MB /   0.50 sec =    8.3886 Mbps     0 retrans     67 KB-cwnd
[2024-05-27 14:11:40.804438]     0.5000 MB /   0.50 sec =    8.3871 Mbps     0 retrans     72 KB-cwnd
[2024-05-27 14:11:41.311835]     0.6250 MB /   0.50 sec =   10.4864 Mbps     0 retrans    104 KB-cwnd
[2024-05-27 14:11:41.822957]     0.7500 MB /   0.50 sec =   12.5845 Mbps     9 retrans     92 KB-cwnd
[2024-05-27 14:11:42.448863]     0.5000 MB /   0.50 sec =    8.3881 Mbps    10 retrans     37 KB-cwnd
[2024-05-27 14:11:43.340459]     0.5625 MB /   0.50 sec =    9.4379 Mbps     1 retrans     35 KB-cwnd
[2024-05-27 14:11:43.341042]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     35 KB-cwnd
[2024-05-27 14:11:44.676395]     0.3750 MB /   0.50 sec =    6.2910 Mbps     1 retrans     37 KB-cwnd
[2024-05-27 14:11:44.676915]     0.2500 MB /   0.50 sec =    4.1944 Mbps     0 retrans     37 KB-cwnd
[2024-05-27 14:11:44.677059]     0.2500 MB /   0.50 sec =    4.1945 Mbps     0 retrans     37 KB-cwnd
[2024-05-27 14:11:45.856490]     0.1875 MB /   0.50 sec =    3.1458 Mbps     1 retrans     57 KB-cwnd
[2024-05-27 14:11:45.856997]     0.3125 MB /   0.50 sec =    5.2423 Mbps     0 retrans     57 KB-cwnd
[2024-05-27 14:11:46.773019]     0.3750 MB /   0.50 sec =    6.2922 Mbps     0 retrans     64 KB-cwnd
[2024-05-27 14:11:46.773374]     0.4375 MB /   0.50 sec =    7.3405 Mbps     0 retrans     64 KB-cwnd
[2024-05-27 14:11:47.669670]     0.3750 MB /   0.50 sec =    6.2907 Mbps     5 retrans     45 KB-cwnd
[2024-05-27 14:11:47.670475]     0.3125 MB /   0.50 sec =    5.2429 Mbps     0 retrans     45 KB-cwnd
[2024-05-27 14:11:48.521083]     0.3125 MB /   0.50 sec =    5.2432 Mbps     1 retrans     72 KB-cwnd
[2024-05-27 14:11:49.318185]     0.5000 MB /   0.50 sec =    8.3883 Mbps     2 retrans     50 KB-cwnd
[2024-05-27 14:11:49.318678]     0.4375 MB /   0.50 sec =    7.3402 Mbps     0 retrans     50 KB-cwnd
[2024-05-27 14:11:50.239189]     0.3750 MB /   0.50 sec =    6.2913 Mbps     2 retrans     48 KB-cwnd
[2024-05-27 14:11:50.239521]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     48 KB-cwnd
[2024-05-27 14:11:51.039237]     0.3750 MB /   0.50 sec =    6.2917 Mbps     1 retrans     44 KB-cwnd
[2024-05-27 14:11:52.096538]     0.4375 MB /   0.50 sec =    7.3398 Mbps     1 retrans     44 KB-cwnd
[2024-05-27 14:11:52.097058]     0.3125 MB /   0.50 sec =    5.2431 Mbps     0 retrans     44 KB-cwnd
[2024-05-27 14:11:52.097179]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans     44 KB-cwnd
[2024-05-27 14:11:52.742201]     0.3750 MB /   0.50 sec =    6.2916 Mbps    10 retrans     75 KB-cwnd
[2024-05-27 14:11:53.434429]     0.8125 MB /   0.50 sec =   13.6312 Mbps     5 retrans     41 KB-cwnd
[2024-05-27 14:11:54.371852]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     49 KB-cwnd
[2024-05-27 14:11:54.372067]     0.3750 MB /   0.50 sec =    6.2913 Mbps     0 retrans     49 KB-cwnd
[2024-05-27 14:11:55.066278]     0.4375 MB /   0.50 sec =    7.3399 Mbps     4 retrans     49 KB-cwnd
[2024-05-27 14:11:55.066765]     0.5000 MB /   0.50 sec =    8.3884 Mbps     0 retrans     49 KB-cwnd
[2024-05-27 14:11:55.789694]     0.4375 MB /   0.50 sec =    7.3405 Mbps     0 retrans     60 KB-cwnd
[2024-05-27 14:11:56.352359]     0.5625 MB /   0.50 sec =    9.4368 Mbps     6 retrans     49 KB-cwnd
[2024-05-27 14:11:57.331135]     0.5000 MB /   0.50 sec =    8.3887 Mbps     2 retrans     46 KB-cwnd
[2024-05-27 14:11:57.331481]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     46 KB-cwnd
[2024-05-27 14:11:57.936497]     0.4375 MB /   0.50 sec =    7.3397 Mbps     1 retrans    108 KB-cwnd
[2024-05-27 14:11:58.326943]     0.7500 MB /   0.50 sec =   12.5826 Mbps     0 retrans    112 KB-cwnd
[2024-05-27 14:11:58.696973]     0.9375 MB /   0.50 sec =   15.7305 Mbps     1 retrans     92 KB-cwnd
[2024-05-27 14:11:59.137952]     0.7500 MB /   0.50 sec =   12.5815 Mbps     0 retrans    100 KB-cwnd
[2024-05-27 14:11:59.572308]     0.8750 MB /   0.50 sec =   14.6814 Mbps     0 retrans    105 KB-cwnd
[2024-05-27 14:12:00.410580]     0.8125 MB /   0.50 sec =   13.6312 Mbps     3 retrans     89 KB-cwnd
[2024-05-27 14:12:00.898762]     0.6875 MB /   0.50 sec =   11.5331 Mbps     0 retrans     96 KB-cwnd
[2024-05-27 14:12:01.319624]     0.7500 MB /   0.50 sec =   12.5840 Mbps     0 retrans    104 KB-cwnd
[2024-05-27 14:12:01.679931]     0.8750 MB /   0.50 sec =   14.6802 Mbps     3 retrans    103 KB-cwnd
[2024-05-27 14:12:02.105544]     0.8750 MB /   0.50 sec =   14.6787 Mbps     0 retrans    108 KB-cwnd
[2024-05-27 14:12:02.882446]     0.8750 MB /   0.50 sec =   14.6810 Mbps     1 retrans    100 KB-cwnd
[2024-05-27 14:12:03.247552]     1.0000 MB /   0.50 sec =   16.7785 Mbps     0 retrans    119 KB-cwnd
[2024-05-27 14:12:03.588790]     0.9375 MB /   0.50 sec =   15.7281 Mbps     0 retrans    123 KB-cwnd
[2024-05-27 14:12:04.295601]     1.0625 MB /   0.50 sec =   17.8256 Mbps     1 retrans    121 KB-cwnd
[2024-05-27 14:12:04.610362]     0.9375 MB /   0.50 sec =   15.7265 Mbps     0 retrans    126 KB-cwnd
[2024-05-27 14:12:05.377800]     0.9375 MB /   0.50 sec =   15.7306 Mbps     1 retrans    111 KB-cwnd
[2024-05-27 14:12:05.744609]     0.8750 MB /   0.50 sec =   14.6800 Mbps     0 retrans    116 KB-cwnd
[2024-05-27 14:12:06.124240]     0.9375 MB /   0.50 sec =   15.7290 Mbps     1 retrans    127 KB-cwnd
[2024-05-27 14:12:06.898356]     0.8750 MB /   0.50 sec =   14.6789 Mbps     2 retrans    105 KB-cwnd
[2024-05-27 14:12:07.318524]     0.8750 MB /   0.50 sec =   14.6809 Mbps     0 retrans     93 KB-cwnd
[2024-05-27 14:12:07.872498]     0.7500 MB /   0.50 sec =   12.5821 Mbps     0 retrans    100 KB-cwnd
[2024-05-27 14:12:08.558654]     0.5000 MB /   0.50 sec =    8.3889 Mbps     2 retrans    100 KB-cwnd
[2024-05-27 14:12:09.111581]     0.6250 MB /   0.50 sec =   10.4862 Mbps     0 retrans    115 KB-cwnd
[2024-05-27 14:12:09.112060]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans    115 KB-cwnd
[2024-05-27 14:12:09.605290]     0.6875 MB /   0.50 sec =   11.5343 Mbps     0 retrans    119 KB-cwnd
