Start time: 1716826306857
[2024-05-27 12:11:46.934944] PING 35.245.244.238 (35.245.244.238) 38(66) bytes of data.
[2024-05-27 12:11:46.935436] 46 bytes from 35.245.244.238: icmp_seq=1 ttl=58 time=36.0 ms
[2024-05-27 12:11:47.141618] 46 bytes from 35.245.244.238: icmp_seq=2 ttl=58 time=40.3 ms
[2024-05-27 12:11:47.344664] 46 bytes from 35.245.244.238: icmp_seq=3 ttl=58 time=42.5 ms
[2024-05-27 12:11:47.535328] 46 bytes from 35.245.244.238: icmp_seq=4 ttl=58 time=31.5 ms
[2024-05-27 12:11:47.738796] 46 bytes from 35.245.244.238: icmp_seq=5 ttl=58 time=34.2 ms
[2024-05-27 12:11:47.938967] 46 bytes from 35.245.244.238: icmp_seq=6 ttl=58 time=33.6 ms
[2024-05-27 12:11:48.154554] 46 bytes from 35.245.244.238: icmp_seq=7 ttl=58 time=45.9 ms
[2024-05-27 12:11:48.339949] 46 bytes from 35.245.244.238: icmp_seq=8 ttl=58 time=30.7 ms
[2024-05-27 12:11:48.549812] 46 bytes from 35.245.244.238: icmp_seq=9 ttl=58 time=39.9 ms
[2024-05-27 12:11:48.751340] 46 bytes from 35.245.244.238: icmp_seq=10 ttl=58 time=40.5 ms
[2024-05-27 12:11:48.946300] 46 bytes from 35.245.244.238: icmp_seq=11 ttl=58 time=34.8 ms
[2024-05-27 12:11:49.148130] 46 bytes from 35.245.244.238: icmp_seq=12 ttl=58 time=35.8 ms
[2024-05-27 12:11:49.344644] 46 bytes from 35.245.244.238: icmp_seq=13 ttl=58 time=30.8 ms
[2024-05-27 12:11:49.548806] 46 bytes from 35.245.244.238: icmp_seq=14 ttl=58 time=35.1 ms
[2024-05-27 12:11:49.754766] 46 bytes from 35.245.244.238: icmp_seq=15 ttl=58 time=40.3 ms
[2024-05-27 12:11:49.954011] 46 bytes from 35.245.244.238: icmp_seq=16 ttl=58 time=37.1 ms
[2024-05-27 12:11:50.153779] 46 bytes from 35.245.244.238: icmp_seq=17 ttl=58 time=34.4 ms
[2024-05-27 12:11:50.354319] 46 bytes from 35.245.244.238: icmp_seq=18 ttl=58 time=35.9 ms
[2024-05-27 12:11:50.551768] 46 bytes from 35.245.244.238: icmp_seq=19 ttl=58 time=32.4 ms
[2024-05-27 12:11:50.761131] 46 bytes from 35.245.244.238: icmp_seq=20 ttl=58 time=39.8 ms
[2024-05-27 12:11:50.956115] 46 bytes from 35.245.244.238: icmp_seq=21 ttl=58 time=34.6 ms
[2024-05-27 12:11:51.159241] 46 bytes from 35.245.244.238: icmp_seq=22 ttl=58 time=35.4 ms
[2024-05-27 12:11:51.358422] 46 bytes from 35.245.244.238: icmp_seq=23 ttl=58 time=33.4 ms
[2024-05-27 12:11:51.564064] 46 bytes from 35.245.244.238: icmp_seq=24 ttl=58 time=35.5 ms
[2024-05-27 12:11:51.769683] 46 bytes from 35.245.244.238: icmp_seq=25 ttl=58 time=38.5 ms
[2024-05-27 12:11:51.968472] 46 bytes from 35.245.244.238: icmp_seq=26 ttl=58 time=36.8 ms
[2024-05-27 12:11:52.173008] 46 bytes from 35.245.244.238: icmp_seq=27 ttl=58 time=39.6 ms
[2024-05-27 12:11:52.368481] 46 bytes from 35.245.244.238: icmp_seq=28 ttl=58 time=35.8 ms
[2024-05-27 12:11:52.568106] 46 bytes from 35.245.244.238: icmp_seq=29 ttl=58 time=33.8 ms
[2024-05-27 12:11:52.772032] 46 bytes from 35.245.244.238: icmp_seq=30 ttl=58 time=36.2 ms
[2024-05-27 12:11:52.975930] 46 bytes from 35.245.244.238: icmp_seq=31 ttl=58 time=37.8 ms
[2024-05-27 12:11:53.174544] 46 bytes from 35.245.244.238: icmp_seq=32 ttl=58 time=35.4 ms
[2024-05-27 12:11:53.378437] 46 bytes from 35.245.244.238: icmp_seq=33 ttl=58 time=38.1 ms
[2024-05-27 12:11:53.578326] 46 bytes from 35.245.244.238: icmp_seq=34 ttl=58 time=35.1 ms
[2024-05-27 12:11:53.779368] 46 bytes from 35.245.244.238: icmp_seq=35 ttl=58 time=34.9 ms
[2024-05-27 12:11:53.979390] 46 bytes from 35.245.244.238: icmp_seq=36 ttl=58 time=32.3 ms
[2024-05-27 12:11:54.183562] 46 bytes from 35.245.244.238: icmp_seq=37 ttl=58 time=35.0 ms
[2024-05-27 12:11:54.387354] 46 bytes from 35.245.244.238: icmp_seq=38 ttl=58 time=38.2 ms
[2024-05-27 12:11:54.589508] 46 bytes from 35.245.244.238: icmp_seq=39 ttl=58 time=37.0 ms
[2024-05-27 12:11:54.786520] 46 bytes from 35.245.244.238: icmp_seq=40 ttl=58 time=33.3 ms
[2024-05-27 12:11:54.992245] 46 bytes from 35.245.244.238: icmp_seq=41 ttl=58 time=37.9 ms
[2024-05-27 12:11:55.198585] 46 bytes from 35.245.244.238: icmp_seq=42 ttl=58 time=41.2 ms
[2024-05-27 12:11:55.387072] 46 bytes from 35.245.244.238: icmp_seq=43 ttl=58 time=30.1 ms
[2024-05-27 12:11:55.591591] 46 bytes from 35.245.244.238: icmp_seq=44 ttl=58 time=34.5 ms
[2024-05-27 12:11:55.795238] 46 bytes from 35.245.244.238: icmp_seq=45 ttl=58 time=34.6 ms
[2024-05-27 12:11:55.997125] 46 bytes from 35.245.244.238: icmp_seq=46 ttl=58 time=33.7 ms
[2024-05-27 12:11:56.196212] 46 bytes from 35.245.244.238: icmp_seq=47 ttl=58 time=32.2 ms
[2024-05-27 12:11:56.401032] 46 bytes from 35.245.244.238: icmp_seq=48 ttl=58 time=35.9 ms
[2024-05-27 12:11:56.602323] 46 bytes from 35.245.244.238: icmp_seq=49 ttl=58 time=37.5 ms
[2024-05-27 12:11:56.840447] 46 bytes from 35.245.244.238: icmp_seq=50 ttl=58 time=72.6 ms
[2024-05-27 12:11:57.039911] 46 bytes from 35.245.244.238: icmp_seq=51 ttl=58 time=69.4 ms
[2024-05-27 12:11:57.245219] 46 bytes from 35.245.244.238: icmp_seq=52 ttl=58 time=73.4 ms
[2024-05-27 12:11:57.450319] 46 bytes from 35.245.244.238: icmp_seq=53 ttl=58 time=78.5 ms
[2024-05-27 12:11:57.667985] 46 bytes from 35.245.244.238: icmp_seq=54 ttl=58 time=93.2 ms
[2024-05-27 12:11:57.833711] 46 bytes from 35.245.244.238: icmp_seq=55 ttl=58 time=58.5 ms
[2024-05-27 12:11:58.037821] 46 bytes from 35.245.244.238: icmp_seq=56 ttl=58 time=62.3 ms
[2024-05-27 12:11:58.241464] 46 bytes from 35.245.244.238: icmp_seq=57 ttl=58 time=66.5 ms
[2024-05-27 12:11:58.449514] 46 bytes from 35.245.244.238: icmp_seq=58 ttl=58 time=73.0 ms
[2024-05-27 12:11:58.654486] 46 bytes from 35.245.244.238: icmp_seq=59 ttl=58 time=75.3 ms
[2024-05-27 12:11:58.859144] 46 bytes from 35.245.244.238: icmp_seq=60 ttl=58 time=78.4 ms
[2024-05-27 12:11:59.023047] 46 bytes from 35.245.244.238: icmp_seq=61 ttl=58 time=40.9 ms
[2024-05-27 12:11:59.230125] 46 bytes from 35.245.244.238: icmp_seq=62 ttl=58 time=46.0 ms
[2024-05-27 12:11:59.435579] 46 bytes from 35.245.244.238: icmp_seq=63 ttl=58 time=48.6 ms
[2024-05-27 12:11:59.650641] 46 bytes from 35.245.244.238: icmp_seq=64 ttl=58 time=63.8 ms
[2024-05-27 12:11:59.858570] 46 bytes from 35.245.244.238: icmp_seq=65 ttl=58 time=70.1 ms
[2024-05-27 12:12:00.037708] 46 bytes from 35.245.244.238: icmp_seq=66 ttl=58 time=48.4 ms
[2024-05-27 12:12:00.227369] 46 bytes from 35.245.244.238: icmp_seq=67 ttl=58 time=35.2 ms
[2024-05-27 12:12:00.437145] 46 bytes from 35.245.244.238: icmp_seq=68 ttl=58 time=45.2 ms
[2024-05-27 12:12:00.631122] 46 bytes from 35.245.244.238: icmp_seq=69 ttl=58 time=36.7 ms
[2024-05-27 12:12:00.828120] 46 bytes from 35.245.244.238: icmp_seq=70 ttl=58 time=34.2 ms
[2024-05-27 12:12:01.028930] 46 bytes from 35.245.244.238: icmp_seq=71 ttl=58 time=34.8 ms
[2024-05-27 12:12:01.231492] 46 bytes from 35.245.244.238: icmp_seq=72 ttl=58 time=37.5 ms
[2024-05-27 12:12:01.433477] 46 bytes from 35.245.244.238: icmp_seq=73 ttl=58 time=37.2 ms
[2024-05-27 12:12:01.635943] 46 bytes from 35.245.244.238: icmp_seq=74 ttl=58 time=39.9 ms
[2024-05-27 12:12:01.845579] 46 bytes from 35.245.244.238: icmp_seq=75 ttl=58 time=49.0 ms
[2024-05-27 12:12:02.034624] 46 bytes from 35.245.244.238: icmp_seq=76 ttl=58 time=35.9 ms
[2024-05-27 12:12:02.244397] 46 bytes from 35.245.244.238: icmp_seq=77 ttl=58 time=46.8 ms
[2024-05-27 12:12:02.441728] 46 bytes from 35.245.244.238: icmp_seq=78 ttl=58 time=42.2 ms
[2024-05-27 12:12:02.633500] 46 bytes from 35.245.244.238: icmp_seq=79 ttl=58 time=33.0 ms
[2024-05-27 12:12:02.832820] 46 bytes from 35.245.244.238: icmp_seq=80 ttl=58 time=32.8 ms
[2024-05-27 12:12:03.080276] 46 bytes from 35.245.244.238: icmp_seq=81 ttl=58 time=78.4 ms
[2024-05-27 12:12:03.285696] 46 bytes from 35.245.244.238: icmp_seq=82 ttl=58 time=82.7 ms
[2024-05-27 12:12:03.464393] 46 bytes from 35.245.244.238: icmp_seq=83 ttl=58 time=60.0 ms
[2024-05-27 12:12:03.671634] 46 bytes from 35.245.244.238: icmp_seq=84 ttl=58 time=65.2 ms
[2024-05-27 12:12:03.876257] 46 bytes from 35.245.244.238: icmp_seq=85 ttl=58 time=68.3 ms
[2024-05-27 12:12:04.090037] 46 bytes from 35.245.244.238: icmp_seq=86 ttl=58 time=80.5 ms
[2024-05-27 12:12:04.292965] 46 bytes from 35.245.244.238: icmp_seq=87 ttl=58 time=83.8 ms
[2024-05-27 12:12:04.457420] 46 bytes from 35.245.244.238: icmp_seq=88 ttl=58 time=46.8 ms
[2024-05-27 12:12:04.664067] 46 bytes from 35.245.244.238: icmp_seq=89 ttl=58 time=52.5 ms
[2024-05-27 12:12:04.876649] 46 bytes from 35.245.244.238: icmp_seq=90 ttl=58 time=64.2 ms
[2024-05-27 12:12:05.083690] 46 bytes from 35.245.244.238: icmp_seq=91 ttl=58 time=68.6 ms
[2024-05-27 12:12:05.334076] 46 bytes from 35.245.244.238: icmp_seq=92 ttl=58 time=117 ms
[2024-05-27 12:12:05.456652] 46 bytes from 35.245.244.238: icmp_seq=93 ttl=58 time=39.1 ms
[2024-05-27 12:12:05.663913] 46 bytes from 35.245.244.238: icmp_seq=94 ttl=58 time=46.1 ms
[2024-05-27 12:12:05.868815] 46 bytes from 35.245.244.238: icmp_seq=95 ttl=58 time=46.7 ms
[2024-05-27 12:12:06.064297] 46 bytes from 35.245.244.238: icmp_seq=96 ttl=58 time=42.7 ms
[2024-05-27 12:12:06.257732] 46 bytes from 35.245.244.238: icmp_seq=97 ttl=58 time=33.7 ms
[2024-05-27 12:12:06.461784] 46 bytes from 35.245.244.238: icmp_seq=98 ttl=58 time=35.0 ms
[2024-05-27 12:12:06.661866] 46 bytes from 35.245.244.238: icmp_seq=99 ttl=58 time=31.7 ms
[2024-05-27 12:12:06.873223] 46 bytes from 35.245.244.238: icmp_seq=100 ttl=58 time=41.3 ms
[2024-05-27 12:12:07.075896] 46 bytes from 35.245.244.238: icmp_seq=101 ttl=58 time=43.2 ms
[2024-05-27 12:12:07.272493] 46 bytes from 35.245.244.238: icmp_seq=102 ttl=58 time=38.7 ms
[2024-05-27 12:12:07.473333] 46 bytes from 35.245.244.238: icmp_seq=103 ttl=58 time=39.3 ms
[2024-05-27 12:12:07.667988] 46 bytes from 35.245.244.238: icmp_seq=104 ttl=58 time=32.3 ms
[2024-05-27 12:12:07.872488] 46 bytes from 35.245.244.238: icmp_seq=105 ttl=58 time=34.7 ms
[2024-05-27 12:12:08.078555] 46 bytes from 35.245.244.238: icmp_seq=106 ttl=58 time=38.6 ms
[2024-05-27 12:12:08.279833] 46 bytes from 35.245.244.238: icmp_seq=107 ttl=58 time=39.8 ms
[2024-05-27 12:12:08.485186] 46 bytes from 35.245.244.238: icmp_seq=108 ttl=58 time=44.4 ms
[2024-05-27 12:12:08.681700] 46 bytes from 35.245.244.238: icmp_seq=109 ttl=58 time=38.5 ms
[2024-05-27 12:12:08.894012] 46 bytes from 35.245.244.238: icmp_seq=110 ttl=58 time=50.1 ms
[2024-05-27 12:12:09.100964] 46 bytes from 35.245.244.238: icmp_seq=111 ttl=58 time=56.3 ms
[2024-05-27 12:12:09.304054] 46 bytes from 35.245.244.238: icmp_seq=112 ttl=58 time=57.8 ms
[2024-05-27 12:12:09.515382] 46 bytes from 35.245.244.238: icmp_seq=113 ttl=58 time=68.4 ms
[2024-05-27 12:12:09.716299] 46 bytes from 35.245.244.238: icmp_seq=114 ttl=58 time=66.4 ms
[2024-05-27 12:12:09.890468] 46 bytes from 35.245.244.238: icmp_seq=115 ttl=58 time=39.8 ms
[2024-05-27 12:12:10.098557] 46 bytes from 35.245.244.238: icmp_seq=116 ttl=58 time=46.0 ms
[2024-05-27 12:12:10.308471] 46 bytes from 35.245.244.238: icmp_seq=117 ttl=58 time=55.9 ms
[2024-05-27 12:12:10.513827] 46 bytes from 35.245.244.238: icmp_seq=118 ttl=58 time=58.3 ms
[2024-05-27 12:12:10.719905] 46 bytes from 35.245.244.238: icmp_seq=119 ttl=58 time=63.0 ms
[2024-05-27 12:12:10.924069] 46 bytes from 35.245.244.238: icmp_seq=120 ttl=58 time=66.1 ms
[2024-05-27 12:12:11.132133] 46 bytes from 35.245.244.238: icmp_seq=121 ttl=58 time=71.1 ms
[2024-05-27 12:12:11.336853] 46 bytes from 35.245.244.238: icmp_seq=122 ttl=58 time=74.8 ms
[2024-05-27 12:12:11.542297] 46 bytes from 35.245.244.238: icmp_seq=123 ttl=58 time=79.0 ms
[2024-05-27 12:12:11.709622] 46 bytes from 35.245.244.238: icmp_seq=124 ttl=58 time=45.4 ms
[2024-05-27 12:12:11.911486] 46 bytes from 35.245.244.238: icmp_seq=125 ttl=58 time=47.6 ms
[2024-05-27 12:12:12.111728] 46 bytes from 35.245.244.238: icmp_seq=126 ttl=58 time=46.4 ms
[2024-05-27 12:12:12.302654] 46 bytes from 35.245.244.238: icmp_seq=127 ttl=58 time=35.9 ms
