time,rtt_ms,operator
2024-05-27T15:39:10.598491-04:00,66.0,verizon
2024-05-27T15:39:10.785282-04:00,52.2,verizon
2024-05-27T15:39:10.983765-04:00,51.1,verizon
2024-05-27T15:39:11.194033-04:00,58.7,verizon
2024-05-27T15:39:11.383514-04:00,48.3,verizon
2024-05-27T15:39:11.583650-04:00,47.4,verizon
2024-05-27T15:39:11.793507-04:00,56.3,verizon
2024-05-27T15:39:11.994698-04:00,55.6,verizon
2024-05-27T15:39:12.194005-04:00,53.7,verizon
2024-05-27T15:39:12.395044-04:00,53.4,verizon
2024-05-27T15:39:12.593696-04:00,53.0,verizon
2024-05-27T15:39:12.794762-04:00,52.5,verizon
2024-05-27T15:39:12.995528-04:00,53.6,verizon
2024-05-27T15:39:13.193796-04:00,51.2,verizon
2024-05-27T15:39:13.393749-04:00,50.4,verizon
2024-05-27T15:39:13.603806-04:00,59.4,verizon
2024-05-27T15:39:13.795048-04:00,48.4,verizon
2024-05-27T15:39:13.994679-04:00,47.1,verizon
2024-05-27T15:39:14.204620-04:00,57.5,verizon
2024-05-27T15:39:14.403900-04:00,55.6,verizon
2024-05-27T15:39:14.611889-04:00,63.2,verizon
2024-05-27T15:39:14.804325-04:00,54.5,verizon
2024-05-27T15:39:15.004051-04:00,54.0,verizon
2024-05-27T15:39:15.203535-04:00,54.1,verizon
2024-05-27T15:39:15.404318-04:00,54.1,verizon
2024-05-27T15:39:15.603927-04:00,52.9,verizon
2024-05-27T15:39:15.805031-04:00,53.4,verizon
2024-05-27T15:39:16.011917-04:00,59.0,verizon
2024-05-27T15:39:16.212045-04:00,59.4,verizon
2024-05-27T15:39:16.422910-04:00,68.1,verizon
2024-05-27T15:39:16.603725-04:00,48.1,verizon
2024-05-27T15:39:16.803809-04:00,47.6,verizon
2024-05-27T15:39:17.014666-04:00,56.5,verizon
2024-05-27T15:39:17.220928-04:00,63.9,verizon
2024-05-27T15:39:17.413694-04:00,56.2,verizon
2024-05-27T15:39:17.613937-04:00,55.5,verizon
2024-05-27T15:39:17.814428-04:00,54.3,verizon
2024-05-27T15:39:18.013743-04:00,53.8,verizon
2024-05-27T15:39:18.213635-04:00,54.4,verizon
2024-05-27T15:39:18.426206-04:00,64.6,verizon
2024-05-27T15:39:18.615056-04:00,54.0,verizon
2024-05-27T15:39:18.821773-04:00,60.0,verizon
2024-05-27T15:39:19.014153-04:00,51.6,verizon
2024-05-27T15:39:19.213772-04:00,50.3,verizon
2024-05-27T15:39:19.423902-04:00,59.7,verizon
2024-05-27T15:39:19.633478-04:00,69.0,verizon
2024-05-27T15:39:19.824186-04:00,58.7,verizon
2024-05-27T15:39:20.021982-04:00,56.3,verizon
2024-05-27T15:39:20.213708-04:00,48.1,verizon
2024-05-27T15:39:20.414262-04:00,47.5,verizon
2024-05-27T15:39:20.623777-04:00,57.0,verizon
2024-05-27T15:39:20.833927-04:00,66.5,verizon
2024-05-27T15:39:21.025112-04:00,56.1,verizon
2024-05-27T15:39:21.224463-04:00,55.1,verizon
2024-05-27T15:39:21.425158-04:00,54.6,verizon
2024-05-27T15:39:21.624495-04:00,54.8,verizon
2024-05-27T15:39:21.823922-04:00,53.8,verizon
2024-05-27T15:39:22.023470-04:00,53.0,verizon
2024-05-27T15:39:22.224807-04:00,54.5,verizon
2024-05-27T15:39:22.426944-04:00,54.9,verizon
2024-05-27T15:39:22.639326-04:00,68.0,verizon
2024-05-27T15:39:22.824161-04:00,51.6,verizon
2024-05-27T15:39:23.023766-04:00,50.8,verizon
2024-05-27T15:39:23.223525-04:00,51.3,verizon
2024-05-27T15:39:23.423723-04:00,50.5,verizon
2024-05-27T15:39:23.624132-04:00,48.5,verizon
2024-05-27T15:39:23.835910-04:00,58.4,verizon
2024-05-27T15:39:24.033561-04:00,56.1,verizon
2024-05-27T15:39:24.233777-04:00,56.6,verizon
2024-05-27T15:39:24.433426-04:00,55.2,verizon
2024-05-27T15:39:24.633653-04:00,54.5,verizon
2024-05-27T15:39:24.835073-04:00,53.1,verizon
2024-05-27T15:39:25.033864-04:00,52.0,verizon
2024-05-27T15:39:25.233729-04:00,52.2,verizon
2024-05-27T15:39:25.434172-04:00,51.4,verizon
2024-05-27T15:39:25.633506-04:00,50.9,verizon
