Start time: 1717012531955
[2024-05-29 15:55:33.017337] nuttcp-t: v8.1.4: socket
[2024-05-29 15:55:33.018061] nuttcp-t: buflen=65536, nstream=1, port=5001 tcp -> 35.245.244.238
[2024-05-29 15:55:33.018116] nuttcp-t: time limit = 120.00 seconds
[2024-05-29 15:55:33.018153] nuttcp-t: connect to 35.245.244.238 with mss=1376, RTT=61.856 ms af=inet
[2024-05-29 15:55:33.018188] nuttcp-t: send window size = 1048576, receive window size = 4194304
[2024-05-29 15:55:33.018220] nuttcp-t: available send window = 786432, available receive window = 3145728
[2024-05-29 15:55:33.018251] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-29 15:55:33.018282] nuttcp-r: v8.1.4: socket
[2024-05-29 15:55:33.018313] nuttcp-r: buflen=65536, nstream=1, port=5001 tcp
[2024-05-29 15:55:33.018344] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-29 15:55:33.018374] nuttcp-r: accept from 174.224.166.65 with af=inet
[2024-05-29 15:55:33.018409] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-29 15:55:33.018450] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-29 15:55:33.018485]     0.8750 MB /   0.50 sec =   14.6794 Mbps     0 retrans   1533 KB-cwnd
[2024-05-29 15:55:33.490278]     2.0000 MB /   0.50 sec =   33.5522 Mbps     0 retrans   1933 KB-cwnd
[2024-05-29 15:55:33.938408]     2.3125 MB /   0.50 sec =   38.7930 Mbps     0 retrans   1933 KB-cwnd
[2024-05-29 15:55:34.399477]     2.3125 MB /   0.50 sec =   38.8024 Mbps     0 retrans   1933 KB-cwnd
[2024-05-29 15:55:34.968786]     1.8125 MB /   0.50 sec =   30.4091 Mbps     0 retrans   2140 KB-cwnd
[2024-05-29 15:55:35.461579]     2.3125 MB /   0.50 sec =   38.7967 Mbps     0 retrans   2140 KB-cwnd
[2024-05-29 15:55:35.951678]     2.1875 MB /   0.50 sec =   36.6997 Mbps     0 retrans   2140 KB-cwnd
[2024-05-29 15:55:36.431897]     2.2500 MB /   0.50 sec =   37.7484 Mbps     0 retrans   2140 KB-cwnd
[2024-05-29 15:55:36.888926]     2.4375 MB /   0.50 sec =   40.8936 Mbps     0 retrans   2140 KB-cwnd
[2024-05-29 15:55:37.466196]     2.3750 MB /   0.50 sec =   39.8487 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:37.885750]     2.5000 MB /   0.50 sec =   41.9419 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:38.478305]     3.0000 MB /   0.50 sec =   50.3328 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:38.962082]     2.3125 MB /   0.50 sec =   38.7951 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:39.397161]     2.5000 MB /   0.50 sec =   41.9448 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:39.940257]     2.5625 MB /   0.50 sec =   42.9909 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:40.395691]     2.2500 MB /   0.50 sec =   37.7498 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:40.973194]     1.8125 MB /   0.50 sec =   30.4092 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:41.443155]     2.1875 MB /   0.50 sec =   36.6999 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:41.917605]     2.2500 MB /   0.50 sec =   37.7456 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:42.389391]     2.1250 MB /   0.50 sec =   35.6534 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:42.894150]     2.7500 MB /   0.50 sec =   46.1374 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:43.449219]     2.6250 MB /   0.50 sec =   44.0407 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:43.881785]     2.4375 MB /   0.50 sec =   40.8931 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:44.465970]     2.6250 MB /   0.50 sec =   44.0412 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:44.885846]     2.4375 MB /   0.50 sec =   40.8939 Mbps     0 retrans   2162 KB-cwnd
[2024-05-29 15:55:45.404137]     2.6250 MB /   0.50 sec =   44.0403 Mbps     0 retrans   2162 KB-cwnd
