Start time: 1716847531139
[2024-05-27 18:05:33.087752] nuttcp-t: v8.1.4: socket
[2024-05-27 18:05:33.088276] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-27 18:05:33.088322] nuttcp-t: time limit = 120.00 seconds
[2024-05-27 18:05:33.088353] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=1046.597 ms af=inet
[2024-05-27 18:05:33.088381] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-27 18:05:33.088411] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-27 18:05:33.088439] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-27 18:05:33.088467] nuttcp-r: v8.1.4: socket
[2024-05-27 18:05:33.088493] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-27 18:05:33.088527] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-27 18:05:33.088557] nuttcp-r: accept from 98.97.16.43 with af=inet
[2024-05-27 18:05:33.088590] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-27 18:05:33.088616] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-27 18:05:33.088644]     1.0000 MB /   0.50 sec =   16.7750 Mbps    19 retrans    176 KB-cwnd
[2024-05-27 18:05:33.770454]     1.5000 MB /   0.50 sec =   25.1651 Mbps     5 retrans     77 KB-cwnd
[2024-05-27 18:05:34.245289]     0.8125 MB /   0.50 sec =   13.6316 Mbps     0 retrans     82 KB-cwnd
[2024-05-27 18:05:34.677814]     0.8125 MB /   0.50 sec =   13.6328 Mbps     0 retrans     86 KB-cwnd
[2024-05-27 18:05:35.148737]     0.8125 MB /   0.50 sec =   13.6304 Mbps     1 retrans    104 KB-cwnd
[2024-05-27 18:05:35.526248]     1.0625 MB /   0.50 sec =   17.8264 Mbps    13 retrans     78 KB-cwnd
[2024-05-27 18:05:35.983744]     0.8125 MB /   0.50 sec =   13.6321 Mbps     0 retrans     83 KB-cwnd
[2024-05-27 18:05:36.439538]     0.7500 MB /   0.50 sec =   12.5821 Mbps     1 retrans     70 KB-cwnd
[2024-05-27 18:05:36.985186]     0.7500 MB /   0.50 sec =   12.5829 Mbps     0 retrans     75 KB-cwnd
[2024-05-27 18:05:37.485198]     0.7500 MB /   0.50 sec =   12.5827 Mbps     2 retrans     64 KB-cwnd
[2024-05-27 18:05:38.024984]     0.6875 MB /   0.50 sec =   11.5347 Mbps     0 retrans     75 KB-cwnd
[2024-05-27 18:05:38.522716]     0.8125 MB /   0.50 sec =   13.6311 Mbps     0 retrans     81 KB-cwnd
[2024-05-27 18:05:38.959367]     0.7500 MB /   0.50 sec =   12.5813 Mbps     0 retrans     86 KB-cwnd
[2024-05-27 18:05:39.804760]     0.9375 MB /   0.50 sec =   15.7311 Mbps     3 retrans     86 KB-cwnd
[2024-05-27 18:05:40.196829]     0.8750 MB /   0.50 sec =   14.6798 Mbps     0 retrans     90 KB-cwnd
[2024-05-27 18:05:40.618862]     0.9375 MB /   0.50 sec =   15.7284 Mbps     0 retrans     97 KB-cwnd
[2024-05-27 18:05:40.941755]     1.0000 MB /   0.50 sec =   16.7780 Mbps     3 retrans     92 KB-cwnd
[2024-05-27 18:05:41.947363]     1.0000 MB /   0.50 sec =   16.7766 Mbps     1 retrans     79 KB-cwnd
[2024-05-27 18:05:41.947559]     0.5000 MB /   0.50 sec =    8.3889 Mbps     0 retrans     79 KB-cwnd
[2024-05-27 18:05:42.461809]     0.7500 MB /   0.50 sec =   12.5828 Mbps     0 retrans     85 KB-cwnd
[2024-05-27 18:05:43.367533]     0.7500 MB /   0.50 sec =   12.5825 Mbps     3 retrans    125 KB-cwnd
[2024-05-27 18:05:43.815738]     0.9375 MB /   0.50 sec =   15.7295 Mbps     4 retrans     83 KB-cwnd
[2024-05-27 18:05:44.322537]     0.8750 MB /   0.50 sec =   14.6803 Mbps     0 retrans     89 KB-cwnd
