Time Bucket (America/New_York),Not Named-Plug (kWhs)
05/20/2024 00:00:00,0.0358
05/20/2024 01:00:00,0.0018
05/20/2024 02:00:00,0.0018
05/20/2024 03:00:00,0.0018
05/20/2024 04:00:00,0.0018
05/20/2024 05:00:00,0.0018
05/20/2024 06:00:00,0.0018
05/20/2024 07:00:00,0.0018
05/20/2024 08:00:00,0.0018
05/20/2024 09:00:00,0.0583
05/20/2024 10:00:00,0.0598
05/20/2024 11:00:00,0.0599
05/20/2024 12:00:00,0.0608
05/20/2024 13:00:00,0.0588
05/20/2024 14:00:00,0.0605
05/20/2024 15:00:00,0.0603
05/20/2024 16:00:00,0.0626
05/20/2024 17:00:00,0.0518
05/20/2024 18:00:00,0.0059
05/20/2024 19:00:00,0.0059
05/20/2024 20:00:00,0.0059
05/20/2024 21:00:00,0.0060
05/20/2024 22:00:00,0.0817
05/20/2024 23:00:00,0.0464
05/21/2024 00:00:00,0.0053
05/21/2024 01:00:00,0.0053
05/21/2024 02:00:00,0.0053
05/21/2024 03:00:00,0.0053
05/21/2024 04:00:00,0.0053
05/21/2024 05:00:00,0.0053
05/21/2024 06:00:00,0.0053
05/21/2024 07:00:00,0.0053
05/21/2024 08:00:00,0.0053
05/21/2024 09:00:00,0.0053
05/21/2024 10:00:00,0.0591
05/21/2024 11:00:00,0.0595
05/21/2024 12:00:00,0.0618
05/21/2024 13:00:00,0.0332
05/21/2024 14:00:00,0.0000
05/21/2024 15:00:00,0.0000
05/21/2024 16:00:00,0.0000
05/21/2024 17:00:00,0.0000
05/21/2024 18:00:00,0.0000
05/21/2024 19:00:00,0.0000
05/21/2024 20:00:00,0.0000
05/21/2024 21:00:00,0.0000
05/21/2024 22:00:00,0.0000
05/21/2024 23:00:00,0.0000
05/22/2024 00:00:00,0.0000
05/22/2024 01:00:00,0.0000
