Time Bucket (America/New_York),Not Named-Plug (kWatts)
05/22/2024 07:24:34,0.0000
05/22/2024 07:24:35,0.0000
05/22/2024 07:24:36,0.0000
05/22/2024 07:24:37,0.0000
05/22/2024 07:24:38,0.0000
05/22/2024 07:24:39,0.0000
05/22/2024 07:24:40,0.0000
05/22/2024 07:24:41,0.0000
05/22/2024 07:24:42,0.0000
05/22/2024 07:24:43,0.0000
05/22/2024 07:24:44,0.0000
05/22/2024 07:24:45,0.0000
05/22/2024 07:24:46,0.0000
05/22/2024 07:24:47,0.0000
05/22/2024 07:24:48,0.0000
05/22/2024 07:24:49,0.0000
05/22/2024 07:24:50,0.0000
05/22/2024 07:24:51,0.0000
05/22/2024 07:24:52,0.0000
05/22/2024 07:24:53,0.0000
05/22/2024 07:24:54,0.0000
05/22/2024 07:24:55,0.0000
05/22/2024 07:24:56,0.0000
05/22/2024 07:24:57,0.0000
05/22/2024 07:24:58,0.0000
05/22/2024 07:24:59,0.0000
05/22/2024 07:25:00,0.0000
05/22/2024 07:25:01,0.0000
05/22/2024 07:25:02,0.0000
05/22/2024 07:25:03,0.0000
05/22/2024 07:25:04,0.0000
05/22/2024 07:25:05,0.0000
05/22/2024 07:25:06,0.0000
05/22/2024 07:25:07,0.0000
05/22/2024 07:25:08,0.0000
05/22/2024 07:25:09,0.0000
05/22/2024 07:25:10,0.0000
05/22/2024 07:25:11,0.0000
05/22/2024 07:25:12,0.0000
05/22/2024 07:25:13,0.0000
05/22/2024 07:25:14,0.0000
05/22/2024 07:25:15,0.0000
05/22/2024 07:25:16,0.0000
05/22/2024 07:25:17,0.0000
05/22/2024 07:25:18,0.0000
05/22/2024 07:25:19,0.0000
05/22/2024 07:25:20,0.0000
05/22/2024 07:25:21,0.0000
05/22/2024 07:25:22,0.0000
05/22/2024 07:25:23,0.0000
05/22/2024 07:25:24,0.0000
05/22/2024 07:25:25,0.0000
05/22/2024 07:25:26,0.0000
05/22/2024 07:25:27,0.0000
05/22/2024 07:25:28,0.0000
05/22/2024 07:25:29,0.0000
05/22/2024 07:25:30,0.0000
05/22/2024 07:25:31,0.0000
05/22/2024 07:25:32,0.0000
05/22/2024 07:25:33,0.0000
05/22/2024 07:25:34,0.0000
05/22/2024 07:25:35,0.0000
05/22/2024 07:25:36,0.0000
05/22/2024 07:25:37,0.0000
05/22/2024 07:25:38,0.0000
05/22/2024 07:25:39,0.0000
05/22/2024 07:25:40,0.0000
05/22/2024 07:25:41,0.0000
05/22/2024 07:25:42,0.0000
05/22/2024 07:25:43,0.0000
05/22/2024 07:25:44,0.0000
05/22/2024 07:25:45,0.0000
05/22/2024 07:25:46,0.0000
05/22/2024 07:25:47,0.0000
05/22/2024 07:25:48,0.0000
05/22/2024 07:25:49,0.0000
05/22/2024 07:25:50,0.0000
05/22/2024 07:25:51,0.0000
05/22/2024 07:25:52,0.0000
05/22/2024 07:25:53,0.0000
05/22/2024 07:25:54,0.0000
05/22/2024 07:25:55,0.0000
05/22/2024 07:25:56,0.0000
05/22/2024 07:25:57,0.0000
05/22/2024 07:25:58,0.0000
05/22/2024 07:25:59,0.0000
05/22/2024 07:26:00,0.0000
05/22/2024 07:26:01,0.0000
05/22/2024 07:26:02,0.0000
05/22/2024 07:26:03,0.0000
05/22/2024 07:26:04,0.0000
05/22/2024 07:26:05,0.0000
05/22/2024 07:26:06,0.0000
05/22/2024 07:26:07,0.0000
05/22/2024 07:26:08,0.0000
05/22/2024 07:26:09,0.0000
05/22/2024 07:26:10,0.0000
05/22/2024 07:26:11,0.0000
05/22/2024 07:26:12,0.0000
05/22/2024 07:26:13,0.0000
05/22/2024 07:26:14,0.0000
05/22/2024 07:26:15,0.0000
05/22/2024 07:26:16,0.0000
05/22/2024 07:26:17,0.0000
