Start time: 1716838607505
[2024-05-27 15:37:37.672820] Connecting to host 35.245.244.238, port 5201
[2024-05-27 15:37:37.673738] [  5] local 100.126.163.120 port 47124 connected to 35.245.244.238 port 5201
[2024-05-27 15:37:37.673793] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 15:37:37.675713] [  5]  27.50-28.00  sec   410 KBytes  6.72 Mbits/sec  300  
[2024-05-27 15:37:37.675753] [  5]  28.00-28.50  sec   451 KBytes  7.39 Mbits/sec  330  
[2024-05-27 15:37:37.675829] [  5]  28.50-29.00  sec   314 KBytes  5.15 Mbits/sec  230  
[2024-05-27 15:37:37.675886] [  5]  29.00-29.50  sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:37:37.675943] [  5]  29.50-30.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:37:37.675999] [  5]  30.00-30.50  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:37:37.676056] [  5]  30.50-31.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:37:37.676111] [  5]  31.00-31.50  sec   232 KBytes  3.81 Mbits/sec  170  
[2024-05-27 15:37:37.676168] [  5]  31.50-32.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:37:37.676225] [  5]  32.00-32.50  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.673052] [  5]  32.50-33.00  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:11.673247] [  5]  33.00-33.50  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:38:11.673290] [  5]  33.50-34.00  sec   164 KBytes  2.69 Mbits/sec  120  
[2024-05-27 15:38:11.673327] [  5]  34.00-34.50  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:11.673361] [  5]  34.50-35.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.673393] [  5]  35.00-35.50  sec   150 KBytes  2.47 Mbits/sec  110  
[2024-05-27 15:38:11.673427] [  5]  35.50-36.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:11.673462] [  5]  36.00-36.50  sec   383 KBytes  6.28 Mbits/sec  280  
[2024-05-27 15:38:11.673494] [  5]  36.50-37.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:11.673526] [  5]  37.00-37.50  sec   301 KBytes  4.92 Mbits/sec  220  
[2024-05-27 15:38:11.673557] [  5]  37.50-38.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.673589] [  5]  38.00-38.50  sec   355 KBytes  5.82 Mbits/sec  260  
[2024-05-27 15:38:11.673620] [  5]  38.50-39.00  sec   369 KBytes  6.05 Mbits/sec  270  
[2024-05-27 15:38:11.673653] [  5]  39.00-39.50  sec   465 KBytes  7.62 Mbits/sec  340  
[2024-05-27 15:38:11.673685] [  5]  39.50-40.00  sec   465 KBytes  7.62 Mbits/sec  340  
[2024-05-27 15:38:11.673716] [  5]  40.00-40.50  sec   465 KBytes  7.62 Mbits/sec  340  
[2024-05-27 15:38:11.673748] [  5]  40.50-41.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:11.673780] [  5]  41.00-41.50  sec  82.0 KBytes  1.34 Mbits/sec  60  
[2024-05-27 15:38:11.673813] [  5]  41.50-42.00  sec   451 KBytes  7.40 Mbits/sec  330  
[2024-05-27 15:38:11.673844] [  5]  42.00-42.50  sec   328 KBytes  5.37 Mbits/sec  240  
[2024-05-27 15:38:11.673877] [  5]  42.50-43.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.673909] [  5]  43.00-43.50  sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:38:11.673940] [  5]  43.50-44.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.673971] [  5]  44.00-44.50  sec  82.0 KBytes  1.34 Mbits/sec  60  
[2024-05-27 15:38:11.674028] [  5]  44.50-45.00  sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:38:11.674062] [  5]  45.00-45.50  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.674093] [  5]  45.50-46.00  sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:38:11.674125] [  5]  46.00-46.50  sec   355 KBytes  5.82 Mbits/sec  260  
[2024-05-27 15:38:11.674156] [  5]  46.50-47.00  sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:38:11.674186] [  5]  47.00-47.50  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:11.674219] [  5]  47.50-48.00  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:11.674250] [  5]  48.00-48.50  sec  68.4 KBytes  1.12 Mbits/sec  50  
[2024-05-27 15:38:11.674281] [  5]  48.50-49.00  sec   424 KBytes  6.95 Mbits/sec  310  
[2024-05-27 15:38:11.674311] [  5]  49.00-49.50  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.674342] [  5]  49.50-50.00  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:11.674373] [  5]  50.00-50.50  sec  54.7 KBytes   895 Kbits/sec  40  
[2024-05-27 15:38:11.674404] [  5]  50.50-51.00  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.674435] [  5]  51.00-51.50  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:11.674466] [  5]  51.50-52.00  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:11.674497] [  5]  52.00-52.50  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:11.674528] [  5]  52.50-53.00  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:38:11.674559] [  5]  53.00-53.50  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.674590] [  5]  53.50-54.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:11.674622] [  5]  54.00-54.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:11.674653] [  5]  54.50-55.00  sec   164 KBytes  2.69 Mbits/sec  120  
[2024-05-27 15:38:11.674685] [  5]  55.00-55.50  sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:38:11.674717] [  5]  55.50-56.00  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:38:11.674747] [  5]  56.00-56.50  sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:38:11.674778] [  5]  56.50-57.00  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.674808] [  5]  57.00-57.50  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:11.674839] [  5]  57.50-58.00  sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 15:38:11.674871] [  5]  58.00-58.50  sec  95.7 KBytes  1.56 Mbits/sec  70  
[2024-05-27 15:38:11.674901] [  5]  58.50-59.00  sec   150 KBytes  2.47 Mbits/sec  110  
[2024-05-27 15:38:11.674932] [  5]  59.00-59.50  sec  95.7 KBytes  1.57 Mbits/sec  70  
[2024-05-27 15:38:11.674963] [  5]  59.50-60.00  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.674993] [  5]  60.00-60.50  sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 15:38:11.675023] [  5]  60.50-61.00  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.675056] [  5]  61.00-61.50  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:11.675087] [  5]  61.50-62.00  sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 15:38:11.675119] [  5]  62.00-62.50  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:11.675149] [  5]  62.50-63.00  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:38:11.675181] [  5]  63.00-63.50  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:38:11.675212] [  5]  63.50-64.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:11.675242] [  5]  64.00-64.50  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:38:11.675274] [  5]  64.50-65.00  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:38:11.675304] [  5]  65.00-65.50  sec  95.7 KBytes  1.57 Mbits/sec  70  
[2024-05-27 15:38:11.675334] [  5]  65.50-66.00  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:11.675363] [  5]  66.00-66.50  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:46.172638] [  5]  66.50-67.00  sec  41.0 KBytes   672 Kbits/sec  30  
[2024-05-27 15:38:46.172838] [  5]  67.00-67.50  sec   137 KBytes  2.24 Mbits/sec  100  
[2024-05-27 15:38:46.172904] [  5]  67.50-68.00  sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 15:38:46.172944] [  5]  68.00-68.50  sec   109 KBytes  1.79 Mbits/sec  80  
[2024-05-27 15:38:46.172982] [  5]  68.50-69.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.173017] [  5]  69.00-69.50  sec   232 KBytes  3.81 Mbits/sec  170  
[2024-05-27 15:38:46.173053] [  5]  69.50-70.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173087] [  5]  70.00-70.50  sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:38:46.173122] [  5]  70.50-71.00  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:46.173156] [  5]  71.00-71.50  sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 15:38:46.173235] [  5]  71.50-72.00  sec   342 KBytes  5.60 Mbits/sec  250  
[2024-05-27 15:38:46.173272] [  5]  72.00-72.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173306] [  5]  72.50-73.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.173341] [  5]  73.00-73.50  sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 15:38:46.173376] [  5]  73.50-74.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:46.173409] [  5]  74.00-74.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173446] [  5]  74.50-75.00  sec   273 KBytes  4.48 Mbits/sec  200  
